가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
카페루바토,"카페,디저트",4.34,,,Review집사,https://m.place.naver.com/my/5f96de95e3ea0deb167713de/review?v=2,282,24,,"아늑하고 가성비 좋은 공릉시장 카페 입니당

커피 음료 빙수 다 맛있어요

팥빙수는 다음에 과일빼달라고 하려구요

다른빙수들도 먹으러 올게용👍🏻👍🏻👍🏻👍🏻👍🏻",,2024년 5월 17일 금요일,3번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,Review집사,https://m.place.naver.com/my/5f96de95e3ea0deb167713de/review?v=2,282,24,,"가성비 좋고 모든메뉴 다 찐맛있는 공릉시장 카페 입니다! 공릉시장 갈일 있으면 꼭 들리게 돼요 ㅋㅋㅋ
사장님 수줍음 많으시고 착하십니다 n년째 단골이에요~!",,2024년 4월 19일 금요일,2번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,MMMMMMOOMMMMMM,https://m.place.naver.com/my/5e8d613a8f87a842bc49ab41/review?v=2,59,,,팥빙수 가성비 좋고 맛있어요~~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 7일 일요일,1번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,행복하자44,https://m.place.naver.com/my/5effe53e2a6e9b34b3829d10/review?v=2,421,,,"사장님은 친절하지 않지만 스무드,모카라떼가 맛있어요.
여기에 가면 스무디,라떼 나올때 비스킷3개를 주시고 음료
다 마시면 템블러에 물,작두콩차가 따로 담아서 있어서 편하고 작두콩차가 따뜻해서 맛있어요.
한번 가보셔서 드셔보세요.",,2024년 3월 24일 일요일,1번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,쿤츠,https://m.place.naver.com/my/5b9c655f3640ec3d48a8b063/review?v=2,1562,,,빙수 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 16일 일요일,2번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,잰이광광,https://m.place.naver.com/my/5b8fe0715ea8e7717693f0e8/review?v=2,278,14,,"카페 루바토는 식물들이 정말 많은 공릉동 카페에요. 
도심 속 작은 정원, 숲속과 같은 도피처 느낌이라 이색적이었어요. 마치 식물원에 온 것만 같은 느낌!
​
분명 추운 겨울날 찾은 카페인데 식물 덕분에 카페 내부 온도도 높고, 겸사겸사 음이온도 빵빵하게 마시고 온 듯한 느낌이었습니다.
​
선곡도 좋고 분위기도 좋고~
사장님 직접 담근 청귤차도 상큼하고 따뜻하니 너무 좋았습니다.

가끔 인스타로 선곡도 엿듣고 도깨비 시장 올때 들려 힐링하고 갈게요~^^✨
",,2024년 1월 2일 화요일,1번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,띠드버거b,https://m.place.naver.com/my/5d9eac078f87a842bc38ae9b/review?v=2,313,,,생과일로 요거트스무디르루해쥬시나봐요 너무 달지도 않고 딱 좋은 달기에 깨끗하고 깔끔한 자연 분위기입니다 사장님 친절하시구요! 또 들리려고해요 다음엔 유명한 메뉴 청귤청 먹어볼게요 ㅎㅎ,,2024년 1월 28일 일요일,1번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,으니나라,https://m.place.naver.com/my/5f047f9895cb70731abb33eb/review?v=2,89,,,"공릉 도깨비 시장 안에 있는 카페입니다!
가성비 있는 명이 손칼국수 먹고 조금만 걸어서 오면 있어요~~ 칼국수집만큼 가격이 착해요
사장님이 직접 만든 청귤차 추천합니다 :)",,2023년 12월 30일 토요일,1번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,Evelyn0,https://m.place.naver.com/my/6360ce6b1438fc3a9cf008cf/review?v=2,87,,,커피도 맛있고 무엇보다 빙수가 진짜 맛있어요!!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 25일 토요일,1번째 방문,영수증
카페루바토,"카페,디저트",4.34,,,수민3997,https://m.place.naver.com/my/5e1d95098f87a842bcbfb136/review?v=2,33,,,"식물들을 어쩜 이리 잘 키우시는지..! 식물 인테리어가 너무 예쁘고 사장님도 친절하셔요!! 겨울이 다가오니, 직접 담근 청귤청으로 만근 청귤차도 나왔더라구요! 분위기가 아늑하고 편안하니 따뜻한 차 드시러 가보세용",,2023년 11월 10일 금요일,1번째 방문,영수증
