가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
카페민,"카페,디저트",4.51,,,ssongda12,https://m.place.naver.com/my/5e66c8f18f87a842bcab75b3/review?v=2,1686,20,,"김밥맛집이라 자주가는집입니다
여전히 맛있네요",,2024년 4월 6일 토요일,7번째 방문,영수증
카페민,"카페,디저트",4.51,,,Dheifjdoska,https://m.place.naver.com/my/5d31ce0bb7568606ff7f1e7d/review?v=2,133,,,김밥 맛있어요!!,"일시적인 오류가 발생했습니다
건강한 맛이에요",2024년 6월 7일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,작은나무 혁,https://m.place.naver.com/my/5e4aa0588f87a842bc84ac3c/review?v=2,685,14,,,,2024년 4월 5일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,신나라,https://m.place.naver.com/my/5bbc29f082e6e22eaae68114/review?v=2,411,,,커피도 맛집이지만 음식과 디저트도 훌륭한곳♡,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 23일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,누룽지에요,https://m.place.naver.com/my/628b7d470d150bd4bac3cba5/review?v=2,976,,,김밥 저렴하게 맛있게 잘 먹었습니다 ,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 2월 16일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,sksdlaudwo,https://m.place.naver.com/my/60d6aa633a7a150ff711ba61/review?v=2,504,10,,진짜 맛있어요 ㅜㅜ.. 참치김밥에 묵은지 올려먹으라고 주셨는데 묵은지도 맛있었어요 🩷,"일시적인 오류가 발생했습니다
친절해요",2023년 11월 4일 토요일,2번째 방문,영수증
카페민,"카페,디저트",4.51,,,sab****,https://m.place.naver.com/my/5c639984efe67289ff6e4d56/review?v=2,1403,,,굿,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 5월 14일 화요일,5번째 방문,영수증
카페민,"카페,디저트",4.51,,,che****,https://m.place.naver.com/my/6560400e1438fc3a9c78c196/review?v=2,56,,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 25일 목요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,lej****,https://m.place.naver.com/my/6152d4e0004deb3217cd6468/review?v=2,971,,,카페인데 김밥도 있고 떡볶이 닭강정 메뉴가 다양하고 맛있어요 ,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2024년 1월 9일 화요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,Mr Jin,https://m.place.naver.com/my/5c232ed035f937cc73618aef/review?v=2,1013,,,친절해요 ~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 18일 일요일,2번째 방문,영수증
카페민,"카페,디저트",4.51,,,푸바오다,https://m.place.naver.com/my/5c1bc4e36acdc729ff2b435c/review?v=2,70,7,,카페인데 분식류도 팔아요! 맛있어요 👍🏻사장님 친절하세요🤗,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2023년 10월 24일 화요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,mzifjsk,https://m.place.naver.com/my/5efe14e2854ca92931131cea/review?v=2,1067,,,긋,,2024년 1월 12일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,치치9132,https://m.place.naver.com/my/5e87f2278f87a842bc197013/review?v=2,385,,,맛있고 일찍 오픈해 아침 식사하기도 좋아요.,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 10월 9일 월요일,3번째 방문,영수증
카페민,"카페,디저트",4.51,,,뀨우ㅇㅅㅇ30,https://m.place.naver.com/my/5ee2ce488f87a842bc0d21b7/review?v=2,571,7,,김밥 맛집,,2023년 11월 11일 토요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,soo2win,https://m.place.naver.com/my/61bc573127c8616048e4bc0d/review?v=2,772,,,,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 10월 13일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,김피탕탕이,https://m.place.naver.com/my/5f44ce4aa602e98f5695eea8/review?v=2,70,,,묵은지 참치김밥 맛집이에요,,2023년 7월 14일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,해바라기9399,https://m.place.naver.com/my/5ce62e74d015395d779a8194/review?v=2,684,42,,우리 동네 보물 맛집이에요. 사장님과 직원분 모두 친절하시고 김밥과 샌드위치 커피 건강차 모두 맛있습니다.,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2023년 4월 23일 일요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,24****,https://m.place.naver.com/my/6224ae884efdff432922d4ab/review?v=2,587,,,친절합니다 ,,2024년 1월 16일 화요일,7번째 방문,영수증
카페민,"카페,디저트",4.51,,,숑숑2333,https://m.place.naver.com/my/5c8b2bb357ad6af7ae3e3974/review?v=2,696,,,굿,,2023년 10월 20일 금요일,2번째 방문,영수증
카페민,"카페,디저트",4.51,,,아지라엘95,https://m.place.naver.com/my/5c84509aaf7bfa9ce4635439/review?v=2,76,,,"카페지만 분식메뉴가 있어요~
기본김밥 짭짤하니 맛있구요
떡볶이도 다양한데 기본떡볶이는 아이들이 먹을 수 있을만큼 달큰하고 맵지 않아요~^^",,2023년 4월 2일 일요일,1번째 방문,결제내역
카페민,"카페,디저트",4.51,,,쑤니416,https://m.place.naver.com/my/5e4d66d28f87a842bcf21a8f/review?v=2,923,12,,"커피가 너무 연했었는데 진해졌어요
느무 좋아요","일시적인 오류가 발생했습니다
가성비가 좋아요",2023년 3월 18일 토요일,3번째 방문,영수증
카페민,"카페,디저트",4.51,,,Mr Jin,https://m.place.naver.com/my/5c232ed035f937cc73618aef/review?v=2,1013,,,좋아요~,"일시적인 오류가 발생했습니다
가성비가 좋아요",2023년 7월 23일 일요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,하디하디,https://m.place.naver.com/my/5c6fc8129b90dc048b43bdc5/review?v=2,1787,29,,"커피숍인줄 알았는데 김밥 맛집이었어여~!^^
굿굿","일시적인 오류가 발생했습니다
가성비가 좋아요",2023년 3월 18일 토요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,숑숑2333,https://m.place.naver.com/my/5c8b2bb357ad6af7ae3e3974/review?v=2,696,,,굿,,2023년 7월 20일 목요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,쑤니416,https://m.place.naver.com/my/5e4d66d28f87a842bcf21a8f/review?v=2,923,12,,김밥맛집입니다,"일시적인 오류가 발생했습니다
친절해요",2023년 4월 18일 화요일,5번째 방문,영수증
카페민,"카페,디저트",4.51,,,쑤니416,https://m.place.naver.com/my/5e4d66d28f87a842bcf21a8f/review?v=2,923,12,,김밥좋아요,"일시적인 오류가 발생했습니다
매장이 청결해요",2023년 5월 24일 수요일,6번째 방문,영수증
카페민,"카페,디저트",4.51,,,sohee8365,https://m.place.naver.com/my/5befd14b795bf4f7b3789371/review?v=2,917,19,,친절하고 메뉴가 다양해요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 2월 21일 화요일,3번째 방문,결제내역
카페민,"카페,디저트",4.51,,,저7138,https://m.place.naver.com/my/5d233a3a9cb63998bfda7b77/review?v=2,22,,,너무 맛없어서 겨우 반 마시고 나왔어요 ㄹ떼매니아라서 카페 엄청 다니는데 이렇게 성의없게 타주는집은 첨이에요 라떼만드는 기본자체가 안되어있어요 그리고 머그컵도 집에서 쓰기싫어서 버리게 생긴컵에 주네요  그렇게 마시려구 카페가서 마시는거 아닙니다 ,,2023년 2월 10일 금요일,1번째 방문,결제내역
카페민,"카페,디저트",4.51,,,sohee8365,https://m.place.naver.com/my/5befd14b795bf4f7b3789371/review?v=2,917,19,,김밥이랑 맛있어요,"일시적인 오류가 발생했습니다
친절해요",2023년 1월 19일 목요일,2번째 방문,영수증
카페민,"카페,디저트",4.51,,,쑤니416,https://m.place.naver.com/my/5e4d66d28f87a842bcf21a8f/review?v=2,923,12,,.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 3월 27일 월요일,4번째 방문,영수증
카페민,"카페,디저트",4.51,,,야자57,https://m.place.naver.com/my/5ece3e338f87a842bc0eac13/review?v=2,14,,,"불만족스러워 이 업체를 비추천합니다. 
김밥이 맛있고 커피랑 같이 주문할 수 있어서 몇 번 이용했던 곳인데 너무 불쾌해서 다시는 주문하지 않으려고 합니다. 요기요에서 주문을 했는데 기사님이 없으면 오픈을 하질 말든가 기사님이 없다는 사유로 그냥 배달이 불가하다고 매번 취소하시는데 너무 불쾌하고 속된말로 기분이 더럽습니다. 서비스직을 하시는 분의 마인드가 잘못된 걸 같습니다. 그냥 취소하면 되겠지 하고 간단하게 생각하신 거 같은데 이게 당하는 사람 입장에서는 정말 불쾌하다는 걸 분명히 아셨으면 좋겠습니다. 이게 한두번이면 뭐 그러려니 하겠지만 여러차례라 안 쓸수가 없었습니다. 제 리뷰를 보고 뭐 주문할 사람이 주뭄하지 않다거나 그럴일은 없겠지만 참고하시길 바랍니다.",,2023년 1월 8일 일요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,hyakin,https://m.place.naver.com/my/5c5a5e98f6b3b1c140922974/review?v=2,901,40,,여기 김밥 정말 맛있고 가성비도 좋습니다,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2023년 1월 5일 목요일,1번째 방문,결제내역
카페민,"카페,디저트",4.51,,,sab****,https://m.place.naver.com/my/5c639984efe67289ff6e4d56/review?v=2,1403,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 6월 29일 목요일,4번째 방문,영수증
카페민,"카페,디저트",4.51,,,sksdlaudwo,https://m.place.naver.com/my/60d6aa633a7a150ff711ba61/review?v=2,504,10,,맛있어요 ㅠㅠㅠㅠ,"일시적인 오류가 발생했습니다
친절해요",2023년 3월 25일 토요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,도산공원89,https://m.place.naver.com/my/61f89b72ee5aa65c214ffb4d/review?v=2,1268,16,,맛있어요,"일시적인 오류가 발생했습니다
좌석이 편해요",2023년 3월 25일 토요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,은방울꽃29,https://m.place.naver.com/my/5f0a42a29ec8258e4a2f32d5/review?v=2,131,,,좋아요 ,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 4월 19일 수요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,뇨뇨냐냐냐뇨냐뇨냐,https://m.place.naver.com/my/5b7acf3624baa70542695f22/review?v=2,635,,,"여기 김밥 맛있어요!!
라면은 집에서 끓인 라면맛!
간단히 먹기좋아요","일시적인 오류가 발생했습니다
친절해요",2022년 12월 11일 일요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,해피바이러스0903,https://m.place.naver.com/my/5eacf1528f87a842bcfc1975/review?v=2,2643,49,,"단체 도시락주문
맛있어요","일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2022년 11월 13일 일요일,3번째 방문,영수증
카페민,"카페,디저트",4.51,,,꽃할매,https://m.place.naver.com/my/5c26cb3eab92245e2ff09211/review?v=2,179,,,커피숍인줄알고들어갔는데 맛있는분식도하는 다시가고싶은까페네요,,2022년 12월 3일 토요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,자유여동상,https://m.place.naver.com/my/5be5a0f5b21fc68feb874ee8/review?v=2,3005,78,,우연히 들어갔는데 커피 맛집이네요 실내도 깔끔하고 대화하기 좋네요 커피가 맛있어요,"일시적인 오류가 발생했습니다
가성비가 좋아요",2023년 3월 31일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,심선생36,https://m.place.naver.com/my/5dad8df88f87a842bc752a6f/review?v=2,1086,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 2월 17일 금요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,xxhappycat,https://m.place.naver.com/my/5b7bca90568ecc6972d8653b/review?v=2,147,,,김밥 저렴하고 엄청 크고 맛있어요!,,2022년 11월 9일 수요일,2번째 방문,영수증
카페민,"카페,디저트",4.51,,,HONII,https://m.place.naver.com/my/5d914bf68f87a842bc924e94/review?v=2,27,,,"진짜 맛집이에요. 매장에서 식사하면, 김밥한줄을 시켜도 국물에 밑반찬까지 주시고 깔끔합니다","일시적인 오류가 발생했습니다
친절해요",2022년 10월 22일 토요일,1번째 방문,영수증
카페민,"카페,디저트",4.51,,,쑤니416,https://m.place.naver.com/my/5e4d66d28f87a842bcf21a8f/review?v=2,923,12,,떡볶이도 맛있고 묵은지김밥 진짜 맛있어요,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2022년 10월 1일 토요일,2번째 방문,영수증
카페민,"카페,디저트",4.51,,,pur****,https://m.place.naver.com/my/5df45e1d8f87a842bce39d44/review?v=2,144,,,맛있고 양도많네요ㅎ,"일시적인 오류가 발생했습니다
친절해요",2022년 9월 16일 금요일,1번째 방문,영수증
