가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
카페인중독 노원점,와플,,,,thema1,https://m.place.naver.com/my/5ebd4dc88f87a842bced37cc/review?v=2,483,24,,유명하다는 햅쌀와플 먹어봤어요 카페인중독은 생크림이 특히 맛있어요 ㅎㅎ 와플이야 다 맛있지만 다음엔 로투스로 ㅎ,,2024년 4월 19일 금요일,4번째 방문,결제내역
카페인중독 노원점,와플,,,,뮤즈뷰,https://m.place.naver.com/my/5f69b3db6c3d7f73342816c7/review?v=2,176,,,와플 맛있어요!! 👍,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 21일 금요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,좋아요 ,,2024년 5월 15일 수요일,9번째 방문,영수증
카페인중독 노원점,와플,,,,cuf****,https://m.place.naver.com/my/5b63a843202e275c7b292023/review?v=2,879,,,"아들 최애 와플~
",,2024년 5월 23일 목요일,2번째 방문,영수증
카페인중독 노원점,와플,,,,thema1,https://m.place.naver.com/my/5ebd4dc88f87a842bced37cc/review?v=2,483,24,,오랜만에 오레오 와플 ㅎ 크림을 조금으로 했는데 다음부턴 보통으로 해야겠어여 아무튼 하나 더 먹고싶을정도로 맛있었어요!,,2023년 11월 14일 화요일,3번째 방문,결제내역
카페인중독 노원점,와플,,,,ssy****,https://m.place.naver.com/my/615342d34f4bb2f03c81d84c/review?v=2,316,,,단골이라고 크림 빵빵하게 채워주시는 사장님 감사합니다 ❤️,,2023년 11월 17일 금요일,4번째 방문,영수증
카페인중독 노원점,와플,,,,cuf****,https://m.place.naver.com/my/5b63a843202e275c7b292023/review?v=2,879,,,아들이 넘 좋아해서요,,2024년 4월 14일 일요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,011092,https://m.place.naver.com/my/61cbe1cdedc826000640deee/review?v=2,274,,,굿,,2024년 4월 8일 월요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,도짭짭,https://m.place.naver.com/my/5e86e73e8f87a842bc0ce426/review?v=2,1145,44,,사장님 부부 계시면 두배로 맛나용 카라멜 챙겨주셔서 감사해요,,2023년 11월 3일 금요일,2번째 방문,영수증
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,좋아요 ,,2024년 2월 12일 월요일,8번째 방문,영수증
카페인중독 노원점,와플,,,,지니지니8,https://m.place.naver.com/my/5de5ed829ec8258e4a18c7e0/review?v=2,10,,,"사장님 두분 다 너무 잘생기고 예쁘신거 같아요!
외모처럼 음료도 디저트듀 너무 맛있는 곳입니다
특히 노원점 자주 오게되네요오
잘먹었습니다 사장님들! 번창하세요오!!",,2023년 10월 9일 월요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,ssy****,https://m.place.naver.com/my/615342d34f4bb2f03c81d84c/review?v=2,316,,,역시 사장님 계실때 젤 맛있게 말아주십니다,,2023년 10월 26일 목요일,2번째 방문,영수증
카페인중독 노원점,와플,,,,나희96,https://m.place.naver.com/my/5c02aded84909611f725b650/review?v=2,205,,,"너무너무 맛있어요💕 햅쌀와플 꼭 드세요
바삭바삭하고 달콤해요 진짜 맛있음!!","일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 10월 10일 화요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,ssy****,https://m.place.naver.com/my/615342d34f4bb2f03c81d84c/review?v=2,316,,,사장님 친절하세용 커피 아닌 음료는 조금 비싼 느낌..?,,2023년 11월 9일 목요일,3번째 방문,영수증
카페인중독 노원점,와플,,,,s_****,https://m.place.naver.com/my/5ee796b18f87a842bc26514c/review?v=2,136,,,"직원분들이 엄청 친절하세요ㅋㅋ 카페인중독 와플 너무 좋아해서 다른지점도 많이 다녀봤는데 진짜 노원점은 언제가도 제가 가본 지점중에 제일 맛있어요! 국물떡볶이 매운맛 엽떡만큼 매우니 조심하시고, 햅쌀은 언제나 사랑이고! 카페인중독은 사실 커피맛이 좀 아쉬운데 진짜 노원점은 달라요 진짜 진하고 같은 원두가 왜 다른건지 모르겠지만 암튼 노원점 제 최애입니다 미숫가루 오늘 처음 먹어봤는데 유레카네요 또 방문할게요",,2023년 5월 21일 일요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,은훼이,https://m.place.naver.com/my/5d9314098f87a842bccbecb0/review?v=2,55,,,"주말 아침에 한잔씩 사먹는 집 근처 가게입니다.
커피 끝맛이 씁쓸하지 않아서 좋아요.

이번엔 주문이 많았나 ""빨때 꽂아드릴까요?"" 란 질문에 대답도 하기 전에 꽂아주시더라고요..🫠
그 점은 좀 아쉬웠어요..",,2023년 8월 19일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,J또이,https://m.place.naver.com/my/5dcafdb38f87a842bc8c4189/review?v=2,6,,,"배달로만 먹다 매장와서는 처음 먹어요!
직원분들도 친절하고 
다른 지점에 비해 여기가 더 맛있어서 왠만하면 노원점 입니다!",,2023년 7월 15일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,도짭짭,https://m.place.naver.com/my/5e86e73e8f87a842bc0ce426/review?v=2,1145,44,,"와플 짱이에요
직원 분이 친절하세요
근데 오늘 크림이 부족하셨는지 많이 적었습니다 ㅠㅠ",,2023년 7월 16일 일요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,ssy****,https://m.place.naver.com/my/615342d34f4bb2f03c81d84c/review?v=2,316,,,알바분들 친절하셔유,,2023년 8월 26일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,wjd****,https://m.place.naver.com/my/5d132f5d0c87545f86714705/review?v=2,1186,37,,좋아요😊 햅쌀와플 추천함니다,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 5월 2일 화요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,hjp****,https://m.place.naver.com/my/5d2c2a2cd0766cd5ad1f5590/review?v=2,1446,,,ㆍㅅ,,2024년 5월 8일 수요일,7번째 방문,결제내역
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,조아요 ,,2023년 9월 20일 수요일,7번째 방문,영수증
카페인중독 노원점,와플,,,,thema1,https://m.place.naver.com/my/5ebd4dc88f87a842bced37cc/review?v=2,483,24,,친절하시고 와플도 맛있어요 ! 먹고 갈 수 있는 좌석이 생겨서 좋네요,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 5월 30일 화요일,2번째 방문,결제내역
카페인중독 노원점,와플,,,,슈퍼맨306,https://m.place.naver.com/my/60dbdd3e7834cfa79feabdf1/review?v=2,644,,,친절하고 음료가 맛있어요.,,2023년 6월 1일 목요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,muii,https://m.place.naver.com/my/5ca6b212b592936cb74a11e5/review?v=2,1039,4,,굿,,2023년 10월 13일 금요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,예야미,https://m.place.naver.com/my/5e859f3d8f87a842bcf1de4a/review?v=2,740,18,,"매장내 취식가능
옛날와플맛 고대로
루이보스 슈가플럼 추천합니다",,2023년 5월 19일 금요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,hjp****,https://m.place.naver.com/my/5d2c2a2cd0766cd5ad1f5590/review?v=2,1446,,,굿,,2024년 3월 4일 월요일,6번째 방문,결제내역
카페인중독 노원점,와플,,,,qkq****,https://m.place.naver.com/my/5d0ca0b65be9baef1a32b7e0/review?v=2,150,2,,와플 맛나용 늦게까지 하셔서 조아요,,2023년 6월 2일 금요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,hjp****,https://m.place.naver.com/my/5d2c2a2cd0766cd5ad1f5590/review?v=2,1446,,,굿,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 12일 금요일,5번째 방문,결제내역
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,조아요 ,,2023년 5월 30일 화요일,6번째 방문,영수증
카페인중독 노원점,와플,,,,아이디2443,https://m.place.naver.com/my/61289dabd0251fba954b604b/review?v=2,4,,,친구말 듣고 와보니 맛있어요! 사장님 친절하시고 가격도 싸네요!!! 방문하면 와플 강추!,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 3월 9일 목요일,1번째 방문,결제내역
카페인중독 노원점,와플,,,,aig****,https://m.place.naver.com/my/5f04c84d92c132301ca07306/review?v=2,258,,,좋아요,,2023년 6월 4일 일요일,1번째 방문,결제내역
카페인중독 노원점,와플,,,,hjp****,https://m.place.naver.com/my/5d2c2a2cd0766cd5ad1f5590/review?v=2,1446,,,굿,,2023년 12월 11일 월요일,4번째 방문,결제내역
카페인중독 노원점,와플,,,,아브라카다브라94,https://m.place.naver.com/my/5b9b28743b5007655370c8f0/review?v=2,168,,,제 입에는 좀 달아요,,2023년 3월 18일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,조아요 ,,2023년 4월 26일 수요일,5번째 방문,영수증
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,조아요 ,,2023년 4월 12일 수요일,4번째 방문,영수증
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,조아요 ,,2023년 4월 2일 일요일,3번째 방문,영수증
카페인중독 노원점,와플,,,,hjp****,https://m.place.naver.com/my/5d2c2a2cd0766cd5ad1f5590/review?v=2,1446,,,굿,,2023년 11월 8일 수요일,3번째 방문,영수증
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,조아요 ,,2023년 3월 22일 수요일,2번째 방문,영수증
카페인중독 노원점,와플,,,,hjp****,https://m.place.naver.com/my/5d2c2a2cd0766cd5ad1f5590/review?v=2,1446,,,굿,,2023년 10월 25일 수요일,2번째 방문,결제내역
카페인중독 노원점,와플,,,,jeany케이59,https://m.place.naver.com/my/5bd64fb8786c88165e194df6/review?v=2,618,,,2리터 보틀 커피가 탐 매력적이예요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2022년 11월 2일 수요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,안녕59,https://m.place.naver.com/my/5e7c83598f87a842bc5296fa/review?v=2,129,,,친절합니다,"일시적인 오류가 발생했습니다
가성비가 좋아요",2023년 3월 24일 금요일,1번째 방문,결제내역
카페인중독 노원점,와플,,,,thema1,https://m.place.naver.com/my/5ebd4dc88f87a842bced37cc/review?v=2,483,24,,흑임자 와플 맛있어요 ,"일시적인 오류가 발생했습니다
매장이 청결해요",2022년 11월 7일 월요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,하얀별이68,https://m.place.naver.com/my/5e395bb38f87a842bc1fea4a/review?v=2,369,,,친절하고 커피 맛나오,"일시적인 오류가 발생했습니다
친절해요",2022년 12월 8일 목요일,2번째 방문,결제내역
카페인중독 노원점,와플,,,,하얀별이68,https://m.place.naver.com/my/5e395bb38f87a842bc1fea4a/review?v=2,369,,,커피맛나고 친절해요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 11월 29일 화요일,1번째 방문,결제내역
카페인중독 노원점,와플,,,,Dadag,https://m.place.naver.com/my/5efe7ce068401871104eb46e/review?v=2,67,,,컵떡볶이 너무 맛있고 와플은 말해뭐해입니다🧡,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2022년 10월 31일 월요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,꼬꼬맹e,https://m.place.naver.com/my/5b82b97f3cc8256949cd3fd6/review?v=2,920,20,,와플 존존존맛!! 크림도 쫀득하니 고급져요~ 콘치폭핫도그 매운맛은 매운거 잘드시는분만 주문하세요. 매워요~,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2022년 8월 28일 일요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,sba****,https://m.place.naver.com/my/5e98d7458f87a842bc339b49/review?v=2,741,,,"커피,와플맛나요","일시적인 오류가 발생했습니다
가성비가 좋아요",2022년 11월 2일 수요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1592,,,좋아요 ,,2022년 11월 24일 목요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,Mini850722,https://m.place.naver.com/my/5c83ab77e8c77443c7f612d6/review?v=2,388,,,맛잇어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 12월 15일 목요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,aid5226,https://m.place.naver.com/my/5ed11f3d8f87a842bcb21fc0/review?v=2,2538,,,맛있어요,,2022년 9월 18일 일요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,eunbda83,https://m.place.naver.com/my/5f38e35ba602e98f56fbce63/review?v=2,327,1,,👍,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2022년 10월 13일 목요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,ya9090,https://m.place.naver.com/my/5c2cf0706aa4fab66fac2a66/review?v=2,1101,,,좋아요,,2023년 3월 18일 토요일,1번째 방문,결제내역
카페인중독 노원점,와플,,,,비밀상자2,https://m.place.naver.com/my/5bff2ea6b71d550ed270e232/review?v=2,52,,,"오픈해서한동안 여기 커피가ㅊ너무맛있어서 자주먹었는데 
요즘은 점점맛이 그냥그런거같아요 ㅠㅠ ",,2022년 8월 10일 수요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,shu****,https://m.place.naver.com/my/6068066dc700c5695720fd2a/review?v=2,91,,,굿,,2022년 11월 10일 목요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,Krystalkklear,https://m.place.naver.com/my/5ef6c4628f87a842bcb33630/review?v=2,697,34,,카야버터와플 맛있어요!,,2022년 8월 9일 화요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,dre****,https://m.place.naver.com/my/5dce0b828f87a842bc0f43f6/review?v=2,28,,,굿,,2022년 10월 29일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,서리1970,https://m.place.naver.com/my/5eedb29b8f87a842bc8354f5/review?v=2,988,15,,맛있어요,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2022년 10월 19일 수요일,7번째 방문,영수증
카페인중독 노원점,와플,,,,어퍼펙트데이,https://m.place.naver.com/my/5c856b90b06e69aae1ca2fe2/review?v=2,2471,,,굿,,2022년 9월 11일 일요일,22번째 방문,영수증
카페인중독 노원점,와플,,,,Traveler51,https://m.place.naver.com/my/5e0c522f8f87a842bc6ddc37/review?v=2,1055,5,,굿,"일시적인 오류가 발생했습니다
특별한 메뉴가 있어요",2022년 9월 6일 화요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,최정현56,https://m.place.naver.com/my/5f06fc86d6ec8fd5cc9ea68a/review?v=2,42,,,굿굿 맛있어용,"일시적인 오류가 발생했습니다
커피가 맛있어요",2022년 8월 13일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,원더랜드66,https://m.place.naver.com/my/5df39b008f87a842bc4a20d3/review?v=2,3,,,커피숍맛있습니다아아아,,2022년 7월 15일 금요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,사 고 감,https://m.place.naver.com/my/60f6a107203968490ddb5121/review?v=2,569,,,좋아요,,2022년 9월 24일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,genzzo38,https://m.place.naver.com/my/6089ff9bd92617387d7a7406/review?v=2,963,,,감사,,2022년 7월 24일 일요일,3번째 방문,영수증
카페인중독 노원점,와플,,,,ddd118,https://m.place.naver.com/my/5c78fc496ce0804a442e8b24/review?v=2,81,,,맛잇어료,,2022년 9월 17일 토요일,1번째 방문,영수증
카페인중독 노원점,와플,,,,genzzo38,https://m.place.naver.com/my/6089ff9bd92617387d7a7406/review?v=2,963,,,감사,,2022년 7월 23일 토요일,2번째 방문,영수증
