가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
칸텐,베이커리,4.67,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,에그타르트만 4개 구입!! 주말 아침이 에그타르트와 커피로 풍성해질 예정!! ,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 17일 금요일,22번째 방문,결제내역
칸텐,베이커리,4.67,,,lkh****,https://m.place.naver.com/my/5ec331b08f87a842bc60b33d/review?v=2,26,,,칸텐 빵은 칸텐 고유의 향이 있는데 제  짧은 생각엔 밀가루가 좋아서 그런것 같아요  다른 빵도 맛있지만 우선 소금빵 드셔보세용❤️ 금요일이 기다려져요🤗,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 12일 금요일,2번째 방문,영수증
칸텐,베이커리,4.67,,,lkh****,https://m.place.naver.com/my/5ec331b08f87a842bc60b33d/review?v=2,26,,,"칸텐레어템 샌드위치🩷💛🩷💛
신선하고 맛있어요🤗","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 2일 일요일,3번째 방문,결제내역
칸텐,베이커리,4.67,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,마음은 휘낭시에 소금빵이지만 남편의 최애 에그타르트 4개! 포장도 잘해주시지만 에그타르트가 모양을 유지하도록 종이백에 주시는 세심함도 감사!,"일시적인 오류가 발생했습니다
친절해요",2024년 4월 5일 금요일,21번째 방문,결제내역
칸텐,베이커리,4.67,,,몽실7015,https://m.place.naver.com/my/5c0bd6f29d1abf4ba5168bb4/review?v=2,887,20.0,,"먹다가 너무 맛있어서 찍었네요..
촉촉달달 그자체!
항상 통밀식빵, 호밀빵만 먹다 휘낭시에랑 초코쿠키 사봤는데 구움과자류도 맛있네요👍☺️",,2024년 3월 10일 일요일,4번째 방문,영수증
칸텐,베이커리,4.67,,,142****,https://m.place.naver.com/my/5da145268f87a842bcfc0af2/review?v=2,115,,,"금토일밖에 안 열어서 너무 아쉬운 곳!
빵은 밥을 대신할 수 있는 곳!","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 7일 금요일,1번째 방문,영수증
칸텐,베이커리,4.67,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,다른 날보다 일찍 열어서 얼마나 감사했는지요~~에그타르트 소금빵 스콘 등을 구입했어요. 언제나 맛있어요,"일시적인 오류가 발생했습니다
친절해요",2024년 1월 28일 일요일,18번째 방문,결제내역
칸텐,베이커리,4.67,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,"에그타르트2개, 소금빵1개, 앙버터( 정말 죽여줘요~~ 겉은 바싹 속은 앙버터) ","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 2월 16일 금요일,20번째 방문,결제내역
칸텐,베이커리,4.67,,,나대로1,https://m.place.naver.com/my/5b6626b4413ade0edfd52f29/review?v=2,2756,232.0,,불켜진 칸텐이 왜 이리 반가운지~~~ 늘 구입하는 에그타르트 치아바타 스콘 … 소금빵은 없어서 구입을 못해 아쉬워요.,"일시적인 오류가 발생했습니다
친절해요",2024년 2월 8일 목요일,19번째 방문,결제내역
칸텐,베이커리,4.67,,,해윙005,https://m.place.naver.com/my/5f0636d99127dcb4fc64e54b/review?v=2,4,,,너무 쫄깃하고 담백하고 맛있었습니다!,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 5월 26일 일요일,1번째 방문,결제내역
