가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
커피스피릿,"카페,디저트",,,,창틈,https://m.place.naver.com/my/5f488f30a602e98f56aaaca0/review?v=2,145,,https://pup-review-phinf.pstatic.net/MjAyNDA2MDVfMTg4/MDAxNzE3NTg5ODM5OTYx.Yy75xLGFOnmdllNNDBKsyi3W2cUfidRkBWt5qfONrSUg.ghXWc06xvQux938jVCXKHzEiSoO3qnBBa_OdmV2W-hsg.JPEG/BAFF5363-8151-4198-8F0C-448B23AC3B74.jpeg?type=w1500_60_sharpen,"하늘색 포인트 인테리어가 너무 예뻤건 곳

사장님이 친절하시고 노래가 좋습니다
팝송을 적어서 드리면 틀어주는 곳이에용

달달한 크림라떼와 풍실풍실 티라미수
여유롭게 쉬다갈 수 있는 카페입니다",,2024년 6월 3일 월요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,나는아직배가고프다,https://m.place.naver.com/my/5d81a1918f87a842bc04b884/review?v=2,35,,https://pup-review-phinf.pstatic.net/MjAyNDA3MDVfMTk1/MDAxNzIwMTc3Mzk1ODMw.e55qc-wRdGbxG8-GhBV86jI0baSnyVkffO_8Mg64fm4g.b99Qdgr44DgA0eLQaYDneFCIuObTkG3gfYFwwfL6u98g.JPEG/DA616F79-FD2C-4857-81E6-CBDE41EF4739.jpeg?type=w1500_60_sharpen,,,,,
커피스피릿,"카페,디저트",,,,창틈,https://m.place.naver.com/my/5f488f30a602e98f56aaaca0/review?v=2,145,,,"하늘색 포인트 인테리어가 너무 예뻤건 곳

사장님이 친절하시고 노래가 좋습니다
팝송을 적어서 드리면 틀어주는 곳이에용

달달한 크림라떼와 풍실풍실 티라미수
여유롭게 쉬다갈 수 있는 카페입니다",,2024년 6월 3일 월요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,나는아직배가고프다,https://m.place.naver.com/my/5d81a1918f87a842bc04b884/review?v=2,35,,,"친구랑 방문했다가 좋았어서 또 왔어요~
어무니께서 티라미수 맛있다고 좋아해주셔서 기분이 짱 좋아요🥰
저는 바질 토마토 에이드가 맛있어서 또 왔습니다! 
짱짱 맛있어욤!",,2024년 7월 5일 금요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,Jjackfly,https://m.place.naver.com/my/65ec653973736e3dcf2122a0/review?v=2,6,,,"친구 만나기 전까지 잠깐 시간이 비어서 방문했는데 분위기도 차분하고 커피도 맛있어서 좋았어요! 라떼가 진하고 폼이 엄청 쫀쫀해서 맛있었습니다👍🏻😋 친구도 라떼 좋아해서 테이크아웃으로 샀는데 마침 2+1 이벤트를 하더라고요! 개이득😆 
시그니처라고해서 버터스카치라떼로 주문했는데 역시 시그니처에요! 정말 맛있습니다 달콤쌉싸름해서 약간 버터스카치 사탕 맛이랑 비슷합니다. 강추해요!👍🏻🥳",,2024년 7월 8일 월요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,로이이2,https://m.place.naver.com/my/5b9cdc89d228d3e12c05e701/review?v=2,112,1.0,,"공리단길 최애 카페 커피스피릿🤎
외관부터 취향저격이라 들어가고싶게 생긴 카페에요 ! 
티라미수 맛집에 시그니처 메뉴인 버터스카치크림라떼도 댕맛탱 ㅠㅠㅠㅠ🤎
딸기라떼도 딸기 왕 많이 들어있고 너무 달지 않아서 좋았어요 ❤️❤️ 모두모두 커피스피릿 가주세용 ㅠㅅㅠ ",,2024년 5월 25일 토요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,영영2951,https://m.place.naver.com/my/5d4c6ede3233776c375711c3/review?v=2,113,,,"시그니처커피는 역시 맛있네요 아메리카노도, 디저트도 맛있어서 좋았습니다. 팝송신청하면 틀어주셔서 좋은 노래 들으면서 편안한 시간보내기 너무 좋은것같습니다:)",,2024년 7월 7일 일요일,1번째 방문,영수증
커피스피릿,"카페,디저트",,,,아이꽁,https://m.place.naver.com/my/5b9bdb856cb6bb3d38b1a8f7/review?v=2,48,,,"음악맛집 디저트맛집 공리단길 카페 커피스피릿 추천합니다!!!사장님도 친절하시고 바나나크림파이 존맛탱!!!!!
다음에 또 방문하겠습니다🩵🩵🩵",,2024년 7월 5일 금요일,1번째 방문,결제내역
커피스피릿,"카페,디저트",,,,rokymom,https://m.place.naver.com/my/5eafee378f87a842bc86126e/review?v=2,319,,,"카페 배색이랑 인테리어 너무 취저❣️
애견동반🐶 가능해서 더욱 좋았구요~ 사장님도 친절하시구 음료도 맛있었어요!! + 선곡요청도 가능
공릉에 카페 새로생기면 거의 가보는데 이곳 너무맘에드네용! 조만간 재방문예정입니다!!",,2024년 6월 1일 토요일,1번째 방문,결제내역
커피스피릿,"카페,디저트",,,,진진러뷰,https://m.place.naver.com/my/5efe798aafcca6e20afd6a74/review?v=2,804,39.0,,공리단길 카페(공릉카페) 커피 스피릿에 다녀왔어요. 멀리서도 눈에 띄는 아쿠아 블루 색깔의 출입문이 넘 예뻐요. 전체적으로 깔끔한 인테리어에 매장도 넘 청결했어요. 새로 오픈한 카페라서 그런지 넘 깔끔하고 깨끗해서 더 맘에 들었어요. 커피머신들도 반짝반짝 윤이 나구요. 시그니처 음료인 버터스카치 크림라떼랑 생딸기 라떼 주문해서 먹었는데 사장님 내공 장난이 아니예요. 진짜 너무너무 맛있어요. 또 생각이 나네요 ㅋㅋㅋㅋㅋ 딸기 판나코타도 바닐라 향이 좋고 딸기랑 넘 잘 어울려요. 넘 맛있게 먹었어요. 담에 또 갈께요~~♡,,2024년 3월 27일 수요일,1번째 방문,영수증
