가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
커피제이,"카페,디저트",4.46,,,뿌얌10,https://m.place.naver.com/my/5e049eec8f87a842bcc254b4/review?v=2,5,,,오늘은 스무디를 주문했는데 진하고 달달하고 양도 많아서 맛도 시간도 즐거운 시간 보냈습니다~,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 7월 11일 목요일,4번째 방문,영수증
커피제이,"카페,디저트",4.46,,,스톤크랩,https://m.place.naver.com/my/60223a0f01ea722d0586ba37/review?v=2,2,,,"커피맛도 좋았고 
카페가 복잡하지 않아 조용해서 친구와
이야기하기 좋았어요.

사장님이 키우는 화초들도 보기 좋았고
사장님도 매우 친절하셨습니다.
",,2024년 2월 28일 수요일,2번째 방문,영수증
커피제이,"카페,디저트",4.46,,,1116lmy42,https://m.place.naver.com/my/5efdd4d215c4bcd43058427f/review?v=2,1295,,,좋습니다,,2024년 2월 26일 월요일,2번째 방문,영수증
커피제이,"카페,디저트",4.46,,,뿌얌10,https://m.place.naver.com/my/5e049eec8f87a842bcc254b4/review?v=2,5,,,"와우~
컵 가져오면 500원 할인~
단골에게만 제공되는 500원짜리 텀블러~
텀블러 완전 좋네요~
저렴한 가격에 좋은 텀즐러에 음료할인
정말 대박 아니에요?
빨리 단골되지 않으면 손해볼것 같아요~
감사해요 사장님^^",,2023년 9월 11일 월요일,3번째 방문,영수증
커피제이,"카페,디저트",4.46,,,뿌얌10,https://m.place.naver.com/my/5e049eec8f87a842bcc254b4/review?v=2,5,,,"단호박라떼
자몽에이드
사장님 요청사항도 잘 들어주시고
시원하고 맛나요~
단골은 할인서비스도 해주셔요~
감사합니다^^",,2023년 8월 31일 목요일,2번째 방문,영수증
커피제이,"카페,디저트",4.46,,,1116lmy42,https://m.place.naver.com/my/5efdd4d215c4bcd43058427f/review?v=2,1295,,,"친절하시고
할인도 해 주시고
제로페이로 결제 가능하고
음료도 맛있어요. 
감사해요. ",,2023년 6월 19일 월요일,1번째 방문,영수증
커피제이,"카페,디저트",4.46,,,ocm900427,https://m.place.naver.com/my/5f39eecd3603e2ca8b0c2c1e/review?v=2,4,,,"사무실에서 가까워 자주가는곳!
커피맛도 좋고 사장님이 너무친절하시고 
무엇보다 가성비도 좋고 가끔 맛보라고 서비스도 주신답니다ㅎㅎ 최고최고 번창하세요^^",,2023년 7월 27일 목요일,1번째 방문,영수증
커피제이,"카페,디저트",4.46,,,뿌얌10,https://m.place.naver.com/my/5e049eec8f87a842bcc254b4/review?v=2,5,,,"사장님 너무 친절하시고
커피제이만의 시그니처 디저트 있어요
꼭 맛보시기 바래요~
",,2023년 6월 30일 금요일,1번째 방문,영수증
커피제이,"카페,디저트",4.46,,,starsound67,https://m.place.naver.com/my/5b632660bc9c6148d1229482/review?v=2,195,,,음료가 맛있고 조용해서 대화하기 좋아요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2023년 6월 23일 금요일,1번째 방문,영수증
커피제이,"카페,디저트",4.46,,,아가페78,https://m.place.naver.com/my/5bf7e0b7958a00616d47d052/review?v=2,1608,,,"커피가 맛있어요
","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 8월 15일 화요일,2번째 방문,영수증
커피제이,"카페,디저트",4.46,,,아가페78,https://m.place.naver.com/my/5bf7e0b7958a00616d47d052/review?v=2,1608,,,맛있어요 ,,2023년 7월 29일 토요일,1번째 방문,영수증
커피제이,"카페,디저트",4.46,,,Do드림,https://m.place.naver.com/my/5d31d2a0176e284bb3c08fc8/review?v=2,2599,66,,아인슈페너,,2022년 10월 10일 월요일,1번째 방문,영수증
커피제이,"카페,디저트",4.46,,,우성7730,https://m.place.naver.com/my/604c4aa2fc6c826e0574a7f2/review?v=2,997,,,맛나요 ,,2022년 9월 7일 수요일,1번째 방문,영수증
커피제이,"카페,디저트",4.46,,,은경2883,https://m.place.naver.com/my/5f52f76f6c3d7f73342f1e43/review?v=2,2943,9,,카페라떼가 맛있어요.,,2021년 12월 21일 화요일,1번째 방문,영수증
