가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
커피콩,카페,,,,린에스테틱a,https://m.place.naver.com/my/5c2e2618af30567f14fd7d60/review?v=2,1103,191,,"오랫만에 공부하러    한방세미나왔네요
공부도 하고 끝나고 커피한잔의 여유 완전 힐링 이네요🥰🥰🥰","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 10일 수요일,5번째 방문,영수증
커피콩,카페,,,,NO_1CATS,https://m.place.naver.com/my/5ea6bf368f87a842bc7b2f54/review?v=2,62,1,,"우연히 대왕 망고빙수가 있다는걸 알고 남동생 꼬셔서 같이 갔습니다.
우선은 택시를 타고 갔는데 네비게이션상 위치가 잘못되어있더라구요. 뒷골목에서 헤맸습니다. 수정하셔야할듯요.
그리고 가장 이곳은 테이블링 서비스 도입이 시급할듯요.
더운데 한시간가까이 밖에서 기다리고있었습니다.
안쪽에서 전화번호 뒷자리와 인원수만 적지 밖에 손님들기다리게 하는데 테이블이 딱 5자리밖에 없어서 회전율이 그닥 빠르지않아요.
넘더워서 맞은편 편의점에서 몽땅 물건사고 사정 얘기하고 편의점에서 기다렸네요. 테이블링 서비스만 도입되도 내차려오면 알림이 올텐데..그런것이 없으니 계속 제차례가 언제올지 편의점과 카페를 다섯번은 넘게 왔다갔다하면서 한시간 넘게 기다린것같아요.
음식은 맛있습니다.
빙수가 깔끔하고 신선하고 맛있더라구요.",,2024년 7월 20일 토요일,1번째 방문,영수증
커피콩,카페,,,,도원짱,https://m.place.naver.com/my/5c89ca47f08f80077f2925e0/review?v=2,1810,8,,"공릉동 생망고빙수맛집 커피콩에서 생애플망고빙수
먹었어요.2시부터인데 30분전부터 밖에 기다리고 1시간
기다려나온 빙수였지만 너무 맛있어서 모든게 다 용서됨요",,2024년 7월 5일 금요일,1번째 방문,영수증
커피콩,카페,,,,허브쌤,https://m.place.naver.com/my/5efe058b854ca929311305ea/review?v=2,1768,40,,"생망고빙수 진짜!!! 꼭~ 드셔보세요. 진짜 대박입니다.
보라카이갔을때 망고 아이스크림 먹고 완전 빠졌었는데
가게이름이 망고홀릭이었나 아이스크림이름이 망고홀릭이었나 진짜 거기서 반했던 그런 맛입니다.
진짜 자주가게될듯 해요.
여사장님이 직접 만드시는데 진짜 힘드셨나봐요ㅜㅜ
얼굴이 창백쓰...그건 안쓰럽지만, 너무 맛있어요.
한3명이서 먹음 쉽게 먹을수 있을것 같아요.
2명이서 다먹으면 손끝이 추워져요ㅋㅋㅋ
이제 ㅅㅂ안가고 여기갈듯요!!!
너무 맛있어서 여름내내 또가고 싶을것 같아요.
생망고빙수는 2시부터입니다. 웨이팅 있어요. 늦으면 재료소진으로 못먹어요.",,2024년 5월 22일 수요일,1번째 방문,영수증
커피콩,카페,,,,연뽀뽀,https://m.place.naver.com/my/5bee4f0198efce09b8eba019/review?v=2,481,178,,"여기 망고빙수 비주얼보고
넘 궁금해서 저장해놨다가
공릉에 빵지순례왔다가 드디어 와봤어요!!
웨이팅 있다해서 걱정했는데 오늘 낮에 웨이팅없이 바로 입장했어요^^
와~!!나오자마자 양이ㅋ비주얼에 놀랐고!!
실제로보니 더 어마무시 하더라고요!!

위에는 생망고였고 아이스크림이랑 맛나더라구요!!
맨 아래는 냉동망고+망고시럽이었는데
역시 생망고가 맛나더라구요^^

둘이서 망고는 다 먹었구
아래 얼음만 남기고 왔다는요!!ㅋㅋ

망고러버라 망고 가득하니 좋았는데
당분간 망고는 안먹고 싶을거 같다는요!!!
21900원에ㅋㅋ산더미 망고라 좋았어요!!

근데 사장님이 좀 친절하셨음 좋겠더라구요...
아쉬움...",,2024년 4월 10일 수요일,1번째 방문,영수증
커피콩,카페,,,,허브쌤,https://m.place.naver.com/my/5efe058b854ca929311305ea/review?v=2,1768,40,,"망고빙수 먹으러 갔어요. 당분간 포장판매만하신다고..ㅜㅡㅜ 하시네요.
모양내서 탑 쌓기가 너무 힘드실것 같긴해요.
망고빙수 24900원입니닷",,2024년 7월 11일 목요일,2번째 방문,영수증
커피콩,카페,,,,찐찐찐찐찐2야,https://m.place.naver.com/my/5f06127005022b66f961b2ef/review?v=2,1111,1,,"망고빙수는 후숙된 망고가 소량이라 바로 앞에서 솔드아웃... 
아쉬운대로 팥빙수를 먹었는데 팥빙수 넘 맛있어요! 
조만간 또 방문해서 망고빙수 도전할건데 
그때도 혹시나 망고빙수 못 먹으면 팥빙수라도 꼭 먹고 올거예요
다른 테이블 망고빙수 나온거 보니 양 진짜 많던데 
최소 3~4명은 같이 방문해야할거같아요
네이버에 친절히 망고 없다고 공지글 남겨주시니 방문전에 네이버 공지글 보시던가 매장에 확인 전화하시면 될거같아요",,2024년 6월 7일 금요일,1번째 방문,영수증
커피콩,카페,,,,웅이또잉,https://m.place.naver.com/my/5b7a8cb08c5d9f01c8b25ffc/review?v=2,266,39,,"😊 : 양이 정말정말정말 많은 역대급 망고빙수. 거기다가 생망고라니!! 당연히 냉동망고일 줄 알았는데 생망고인 거 확인하고 너무 감동했어요. 같이 주신 그릇에 아이스크림 두덩이 각각 담아두고, 망고, 얼음, 아이스크림 한 입에 비율 좋게 먹으면 넘 맛있습니다. 생망고라 너무 인위적으로 달지도 않고, 특유 열대과일 향이 많이 나요. 둘이서 갔는데 1시간 반 동안 카페에 있으면서 결국 다 먹었습니다. ㅋㅋ
🤔 : 아무래도 거대 망고다보니 나오는데 까지는 시간이 조오금 (한 15분 내외) 걸렸어요. 얼음은 그냥 물 얼린 거라 오래 놔두면 사실 망고 물이 됩니다. 양도 많고 생망고다보니 가격대가 조금 있는 편이에요. 2인분 용으로 반 정도 양, 반 정도 가격 메뉴가 있으면 너무 좋을 것 같아요. ",,2024년 3월 30일 토요일,1번째 방문,영수증
커피콩,카페,,,,마녀양마,https://m.place.naver.com/my/5b9b278a0bbb0fb915aaa497/review?v=2,507,12,,"평일기준 두시간반을 기다린끝에 먹어볼수 있었습니다 ㅋㅋㅋㅋ
사장님 혼자 너모너모~ 열일모먼트 ㅠㅠ
한번 먹어봤으면..충분한것같아요
인상적인건 생망고라는사실^^
냉동망고아니예요! 아이스크림도 맛있음 ㅋㅋ",,2024년 5월 31일 금요일,1번째 방문,결제내역
커피콩,카페,,,,쵸자,https://m.place.naver.com/my/5d7a272f8f87a842bcc89b2f/review?v=2,913,88,,"극악의 2시간 웨이팅 끝에먹어 만족도가 높지는 않음 
근데 맛은 있음 
여기도 테이블링 있으면 좋겠다... 다른 카페 들렬다가 오게 이 앞에서 기다려야하는게 별루임",,2024년 6월 29일 토요일,1번째 방문,영수증
커피콩,카페,,,,맛집죽순이,https://m.place.naver.com/my/5f0554392f90b7de35373320/review?v=2,56,52,,"공릉역 4번출구에 위치한 커피콩이라는 카페인데 역대급 비주얼의 망고빙수가 유명한 곳이에요.

망고빙수 촬영하러 간 카페인데 실제로 보면 입이 더 떡벌어지는 망빙이였어요.

망고는 냉동이 아닌 직접 후숙해서 만드는 생망고빙수였으며, 2층으로 된 아이스크림까지 엄청 맛있었어요.

빙수 만드는 동안 커피도 마셨는데 시원하고 맛있었으며, 커피먹고 빙수를 또 먹었는데 맛있어서 계속 먹었네요.
다들 어떻게 먹냐고 많이 묻는데 앞접시같은 걸 망고쪽에 바짝 붙여서 접시쪽으로 긁어서 담아가며 먹으면 되요.

최소 3명은 모여야 먹을수 있는 크기였으며, 진짜 맛있게 잘 먹었어요.

1~3월에는 역대급 비주얼의 어마무시한 딸기빙수를 만드신다고 해요. 그때 또 가려구요!

즐거운 경험이였어요! 굿~~~",,2024년 5월 2일 목요일,1번째 방문,영수증
