가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,749,22,,팥절미 맛나요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 15일 월요일,5번째 방문,결제내역
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,챔챔43,https://m.place.naver.com/my/5c20f35262a2c33bf503f550/review?v=2,859,24,,"항상 사람이 많은 카페, 산책하면서 들리기 좋아요😀",,2024년 5월 19일 일요일,3번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,ssongda12,https://m.place.naver.com/my/5e66c8f18f87a842bcab75b3/review?v=2,1686,20,,"팥절미에 빠져서 자주가게 되네요
시원하고 맛있어요","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 29일 토요일,1번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,Mr Jin,https://m.place.naver.com/my/5c232ed035f937cc73618aef/review?v=2,1013,,,맛있고 친절해요 ~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 17일 수요일,1번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,pink1000,https://m.place.naver.com/my/5d2c75776196e20c8fe650e3/review?v=2,336,,,조카 음료수도 파네요 퍼,,2024년 7월 7일 일요일,5번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,고독한 먹짱,https://m.place.naver.com/my/5e26abac8f87a842bc7e908b/review?v=2,136,10,,신메뉴 하겐홀릭 라떼입니다! 그냥 아이스크림 라떼 맛이에요. (굳이? 하겐다즈? 이름을? 붙이고? 좀 비싸게?파는 듯한 느낌...) 다른 아이스크림라떼들의 아이스크림에비해서 싸구려 바닐라 맛은 아니라는 점이 조금 다르지만 그 이외에는 글쎄요..... 그냥 아이스크림라떼 아이스크림 많이 올려서 먹고 싶네요.,,2024년 4월 7일 일요일,1번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,서니6580,https://m.place.naver.com/my/5d4d5f3e7e2f3e02d88f2662/review?v=2,922,,,"개인적으로는
아아 커피맛 정도가 딱 적당하게 맞아요
메가에는 이제   
귀가 어두워져  목소리가 큰 노인분들이  많이 포진해서
이쪽으로 갈아타기 시작...",,2024년 5월 25일 토요일,2번째 방문,결제내역
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,pink1000,https://m.place.naver.com/my/5d2c75776196e20c8fe650e3/review?v=2,336,,,맛있는 건 모르겠고 싸다ㅋㅋㅋ가성비 좋아요. 시원하게.,,2024년 6월 9일 일요일,4번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,은영양,https://m.place.naver.com/my/5b692dff93d45cdd4d973447/review?v=2,1068,18,,자주 들려요  자리는 편안해서 좋아요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 4일 화요일,16번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,먕0,https://m.place.naver.com/my/61a23b02360ca70f76290de2/review?v=2,673,2,,맛나요,,2024년 7월 17일 수요일,7번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,해피바이러스0903,https://m.place.naver.com/my/5eacf1528f87a842bcfc1975/review?v=2,2643,49,,"오늘도 경춘선길 걸으며 이동중에 뜨아로~~
친절하고 편합니다
커피도 당연 맛있죠
강추",,2024년 2월 23일 금요일,4번째 방문,영수증
컴포즈커피 공릉경춘선숲길점,카페,4.34,,,Vector11,https://m.place.naver.com/my/5d8f1c4e8f87a842bc5d9aed/review?v=2,340,1,,,,,,
