가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
쿠키순이,카페,,,,하뭉잉,https://m.place.naver.com/my/5ddddfd69ec8258e4a40cec7/review?v=2,32,1,,"사장님 인심도 좋으시고 너무 친절하세요🤍
이런 가게는 너무 잘됐으면 좋겠어요🤍

근데 쿠키도 재료를 안아끼시나봐요
꾸덕달콤 너무 맛있어요!🍽
그래서 가만히 있으면 자꾸 생각나네요ㅋㅋㅋㅋ

동네에서 나만 아는 맛집이 됐으면 좋겠어요🤍",,2024년 5월 24일 금요일,1번째 방문,결제내역
쿠키순이,카페,,,,찌질넷,https://m.place.naver.com/my/5f6454aae9ae1b301ba2ea9b/review?v=2,591,47,,"신제품 나와서 기념으로 쫙, 쿠키순이 크로넬라 맛나요!","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 22일 월요일,8번째 방문,영수증
쿠키순이,카페,,,,고양아어흥어흥,https://m.place.naver.com/my/5c2341cc1f65d8906aa2fe34/review?v=2,116,,,"쿠키 아이스티 커피   사진 못 찍었어요 ㅜㅡ

아이스티가 정말 특별한 매장이예요.
사장님께서 아이들을 예뻐해 주셔서 너무 힐링이었어요.
커피맛도 좋아요~
브라우니도 정말 쫀득하니 맛이  좋았어요~
더욱 번창하세요~^^",,2024년 5월 3일 금요일,1번째 방문,영수증
쿠키순이,카페,,,,찌질넷,https://m.place.naver.com/my/5f6454aae9ae1b301ba2ea9b/review?v=2,591,47,,"아아 맛집이에요!
아몬드봉봉쿠키도 맛나요.","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 14일 일요일,7번째 방문,영수증
쿠키순이,카페,,,,찌질넷,https://m.place.naver.com/my/5f6454aae9ae1b301ba2ea9b/review?v=2,591,47,,요즘 빠진 맛집입니다. 모든 디저트가 맛있어요. 요즘 너무 행복합니다. ,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 3월 27일 수요일,3번째 방문,영수증
쿠키순이,카페,,,,찌질넷,https://m.place.naver.com/my/5f6454aae9ae1b301ba2ea9b/review?v=2,591,47,,"꾸덕한 초코가 쏟아지는 맛, 쿠키순이 초코브라우니 사왔어요. 매우 만족!","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 4월 7일 일요일,6번째 방문,영수증
쿠키순이,카페,,,,ajyung,https://m.place.naver.com/my/5cb592db231c23277ca975ca/review?v=2,254,,,그래놀라 정말 맛있어요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 10일 금요일,4번째 방문,영수증
쿠키순이,카페,,,,찌질넷,https://m.place.naver.com/my/5f6454aae9ae1b301ba2ea9b/review?v=2,591,47,,"집들이 후 후식차 갔어요. 아이스크림 개시!, 쿠키도 맛나고!","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 6일 토요일,5번째 방문,영수증
쿠키순이,카페,,,,찌질넷,https://m.place.naver.com/my/5f6454aae9ae1b301ba2ea9b/review?v=2,591,47,,엄청난 쿠키맛집입니다. 초코브라우니는 최고의 시그니처. 꼭 맛보시길 바랍니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 26일 화요일,2번째 방문,영수증
쿠키순이,카페,,,,66wish99,https://m.place.naver.com/my/5c970fd1e4f24f11314fa029/review?v=2,10,,,"쿠키 많이 안 달고 넘 맛있어요😋 느끼하지도 않고 담백하게 진짜 잘 들어가요❤️ 이런 필링 들어간 고급 쿠키가 3천원대면 사장님 뭐가 남으세요...? 아메리카노랑 먹으면 최고입니다😇 저는 레몬쿠키가 향긋하고 맛있더라구요! 넘 맛있어서 매장에서도 먹고 포장도 해와서 먹었어요💖 부모님 입맛에도 넘 만족해하셨어요! 사장님이 넘 친절하시구 매장도 깔끔하고 좋았어요! 브라우니가 제일 잘 나간다던데 매진이라 못 먹은게 아쉬워요🥲 담에는 꼭 브라우니 먹어보러 가겠습니다🥰
아몬드도 진짜 인간사료에요 사장님이 직접 아몬드 전처리 하신다더니 진짜 고소하고 신선한게 느껴졌어요! 아버지가 엄청 좋아하셨어요👍 포장도 실링이 되어있는 포장이 있고 박스로도 포장해주셔서 선물용으로 추천해요!",,2024년 2월 4일 일요일,1번째 방문,영수증
