가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
트리킹즈커피 공릉점,"카페,디저트",,,,csj0064,https://m.place.naver.com/my/5bc4685448e98338bcd9c521/review?v=2,121,,,사장님 친절하시고~ 음료도 다양해서 좋아요^^ 물론 맛도 좋아요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 20일 목요일,2번째 방문,결제내역
트리킹즈커피 공릉점,"카페,디저트",,,,pma****,https://m.place.naver.com/my/60d9248a193811619c0b4f79/review?v=2,620,,,청귤차 상큼 달콤 맛나내요,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 1월 30일 화요일,1번째 방문,영수증
트리킹즈커피 공릉점,"카페,디저트",,,,eehh0626,https://m.place.naver.com/my/5d88474a8f87a842bc3f0da3/review?v=2,949,7,,커피맛있고 사장님 친절해요👍,"일시적인 오류가 발생했습니다
친절해요",2023년 10월 21일 토요일,4번째 방문,영수증
트리킹즈커피 공릉점,"카페,디저트",,,,eehh0626,https://m.place.naver.com/my/5d88474a8f87a842bc3f0da3/review?v=2,949,7,,사장님 너무 친절하고 메뉴 다 맛있어요👍,"일시적인 오류가 발생했습니다
친절해요",2023년 10월 10일 화요일,3번째 방문,영수증
트리킹즈커피 공릉점,"카페,디저트",,,,vv1212,https://m.place.naver.com/my/5f066190649bf9575930fb4c/review?v=2,206,,,커피가 맛있어요,,2023년 10월 21일 토요일,1번째 방문,영수증
트리킹즈커피 공릉점,"카페,디저트",,,,csj0064,https://m.place.naver.com/my/5bc4685448e98338bcd9c521/review?v=2,121,,,자몽에이드 새콤달달하니 맛있어요,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 7월 21일 금요일,1번째 방문,결제내역
트리킹즈커피 공릉점,"카페,디저트",,,,인생은40부터9988,https://m.place.naver.com/my/5dedde408f87a842bc87d70c/review?v=2,935,8,,분위기맛집입니다. 다음에는 매장에서 따스한햇살에 마셔보는걸로-^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 2월 15일 수요일,1번째 방문,결제내역
트리킹즈커피 공릉점,"카페,디저트",,,,nar****,https://m.place.naver.com/my/5f046fe6012fad32006d8930/review?v=2,8,,,커피를 별로 안좋아해서 뭘 주문할지 고민하는데 사장님이 아인슈페너를 먹어보라고 추천해주셔서 먹어봤는데 너무 맛있네요~감사합니다ㅎㅎ,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2023년 3월 4일 토요일,2번째 방문,영수증
트리킹즈커피 공릉점,"카페,디저트",,,,안zip,https://m.place.naver.com/my/5cf06155da2c2e9db431c69b/review?v=2,11,3,,"여기 분위기가 너무 좋아요 :)
사장님 친절하십니다!","일시적인 오류가 발생했습니다
친절해요",2023년 2월 11일 토요일,1번째 방문,영수증
트리킹즈커피 공릉점,"카페,디저트",,,,eehh0626,https://m.place.naver.com/my/5d88474a8f87a842bc3f0da3/review?v=2,949,7,,"사장님 친절하고 맛있어요
굿굿굿👍👍👍","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 4월 21일 금요일,2번째 방문,영수증
