가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
트리플에이커피 공릉역점,"카페,디저트",,,,란이다,https://m.place.naver.com/my/61a9bb4dedc82600063f7a8b/review?v=2,229,11,,버블티에 펄이 없어서 펄 추가를 해야되는데 추가요금 800원 해서 버블티 한잔에 4900원 거의 5000원 돈입니다 두잔 구매했는데 거의 1만원도… 맛이 특별한 것도 아니고 너무 비싸서 굳이 버블티 사먹으러는 안 갈 것 같습니다..🥺 (처음방문했을때 원래 펄들어가냐고 여쭤봤더니 직원분께서 펄 없다고 하셔서 계속 추가해서 구매했어요ㅠ),,2024년 4월 4일 목요일,1번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,Review집사,https://m.place.naver.com/my/5f96de95e3ea0deb167713de/review?v=2,282,24,,디카페인 진하고 맛있더라구요 잠도 잘왔어요 추천!!!,,2024년 3월 28일 목요일,1번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,어퍼펙트데이,https://m.place.naver.com/my/5c856b90b06e69aae1ca2fe2/review?v=2,2471,,,굿,,2024년 6월 1일 토요일,8번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,행복하자44,https://m.place.naver.com/my/5effe53e2a6e9b34b3829d10/review?v=2,421,,,"저희집은 점심,저녁 먹고 나서 집가기전에 카페 들려서 
스무디를 먹고 간다.
트리플에이커피도 동료가 가르쳐줘서 몇번씩 가게 된곳임.
아주 맛있어요.
공릉동 주변에 있는 카페는 다 가봄.",,2024년 3월 31일 일요일,1번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,745,22,,가성비. 좋아요,"일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 2월 17일 토요일,1번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,빵그레dh,https://m.place.naver.com/my/5c66e1a8a150b6d05ed47fba/review?v=2,490,17,,테이크아웃 하기 좋아요!!,,2024년 4월 6일 토요일,1번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,어퍼펙트데이,https://m.place.naver.com/my/5c856b90b06e69aae1ca2fe2/review?v=2,2471,,,굿,,2024년 4월 7일 일요일,7번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,소재리,https://m.place.naver.com/my/5ecac4b98f87a842bca7ce95/review?v=2,27,,,"뚱카롱 지인 선물로 사갔는데 
뚱뚱하고 크기도 큰데 가격도 저렴해서 좋았어요~
선물용으로 딱입니다
",,2023년 12월 20일 수요일,10번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,MNM72,https://m.place.naver.com/my/5dd3ef3b8f87a842bc8936c4/review?v=2,90,,,"맛이 좀. 밍밍해서 아쉬웠어요. 
저가 치고는 저렴하진 않은듯",,2024년 1월 10일 수요일,1번째 방문,결제내역
트리플에이커피 공릉역점,"카페,디저트",,,,세꽁맘,https://m.place.naver.com/my/5d8aca638f87a842bcabcef8/review?v=2,401,,,"새로운 커피 맛집!!!
녹차라떼 먹어본중 최고인듯여","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 28일 수요일,2번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,신 환타,https://m.place.naver.com/my/5e8dae138f87a842bc59b507/review?v=2,2237,,,친절해요 ,,2024년 5월 14일 화요일,2번째 방문,결제내역
트리플에이커피 공릉역점,"카페,디저트",,,,내일은 오늘보다 더 열심히 살자,https://m.place.naver.com/my/5e9693da8f87a842bc1fdba9/review?v=2,15,,,"추울때 붕어빵이 최고예요
붕어빵 맛있었어요 
또 올께요 ","일시적인 오류가 발생했습니다
디저트가 맛있어요",2023년 11월 19일 일요일,11번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,세꽁맘,https://m.place.naver.com/my/5d8aca638f87a842bcabcef8/review?v=2,401,,,"커피 맛있어요~
차도 맛나요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 12일 월요일,1번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,yuk****,https://m.place.naver.com/my/5cd04fdc9f1ae10fb7e4ad84/review?v=2,316,,,"커피는 맛있는데
얼음이 4/5네요ㅠ
얼음 쪼금만 줄여주세요^^",,2024년 2월 14일 수요일,1번째 방문,영수증
트리플에이커피 공릉역점,"카페,디저트",,,,qlalf60,https://m.place.naver.com/my/5eafff1e8f87a842bc96943b/review?v=2,906,,,가성비 좋은 커피 맛집이에요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 12일 월요일,1번째 방문,영수증
