가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
트위그 페스츄리,베이커리,,,,전하얀,https://m.place.naver.com/my/5cd247fb8f87a842bcb96a43/review?v=2,207,,,예전부터 먹어보고싶었는데 늘 솔드아웃이라 못먹었다가! 이번에 기회되서 먹었는데! 너무 맛있습니당 :) 사장님의 손목이 안아프길 기도하겠습니다!! 계속 맛있는 빵 만들어주세요🙏🏻,,2024년 7월 20일 토요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,Youryeong,https://m.place.naver.com/my/5d981b4a8f87a842bca324f7/review?v=2,996,76,,"메로와상(메론빵+크루아상) 겉은 바삭하고 속은 부드럽고 겉만 메론 무늬인게 아니라 달달하게 메론맛도 나는거 같아요
에그타르트는 아주 묵직하고 필링이 부드럽고 달달 고소해요 패스츄리는 말할 것도 없이 훌륭
다 맛있네요,,,",,2024년 6월 30일 일요일,4번째 방문,영수증
트위그 페스츄리,베이커리,,,,미미7446,https://m.place.naver.com/my/5ed1e07a8f87a842bcd93fb3/review?v=2,310,14,,"토요일 4시쯤 방문했는데 빵이 많이 없을까봐 걱정했지만 먹고싶은 빵들은 있었어서 다행이엇어요😌😌

디저트들이 하나같이 묵직하고 실해요 거기다 맛도 있음.. 갠적으로 ⭐️밤 크림치즈 트위그⭐️강추!! 전반적으로 디저트 퀄리티 갱장히 훌륭함👍👍👍

밤 트위그는 단면샷 깜빡했는데 단밤 2개가 통으로 들어가 있음요... 

첫 방문인데 이 곳을 왜 이제 알았는지ㅠ 다음에는 피츠타치오롤 도전 예정!!!",,2024년 7월 6일 토요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,갱33,https://m.place.naver.com/my/5eff7c9954eca45f153de85f/review?v=2,77,11,,평일 1시반쯤 방문했는데 한두개정도 품절이였습니다. 뺑오쇼콜라랑 밤크림치즈트위그를 포장했는데 포장봉투 안에 눅눅해지지말라고 제습제까지 넣어두셨더라고요! 페스츄리에 진심이신거같아요!! 뺑오쇼콜라 초콜릿도 많이달지않고 겹겹이 살아있었고 밤트위그는 밤이 통으로 두개나 들어있는데다가 크림치즈랑 조화가 잘 어울렸어요! 다음에 가서 다른것도 사오려구요!!,,2024년 7월 19일 금요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,만보이선생,https://m.place.naver.com/my/5ce67d20dbc8c72d63f9bc22/review?v=2,244,26,,"바쁜 출장 길에 눈에 띄는 빵집이 있어서 후다닥 포장을 했습니다.
빵이 부서질까봐, 추가금을 내고, 선물포장으로 구입했습니다. 
포장하고보니, 근사해서 친구 집에 선물을 하게됐네요.

갈레트 데루아는 직접 맛을 봤는데,
재료도 풍성하고 맛도 좋아서
재구매 의사 있습니다.

다음에는 딸아이와 들려서 이것저것 사 갈께요 ^^
",,2024년 4월 19일 금요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,맛있는조합을좋아합니다,https://m.place.naver.com/my/5d0ddc5e8b4a4b1dc542920b/review?v=2,1349,,,"구매할 수 있는 요일이 정해져있어서 그게 아쉽지만 파이나 크로와상이 먹고싶을 때 꼭 방문해서 사가는 베이커리입니다. 에그타르트 파이지도 바삭바삭하니 맛있고 갈레뜨데루와 금귤맛 예술이였어요. 아몬드 반죽이 위에 올라간  크루와상 맛은 또 어떻구요. 하나하나 도장깨기해먹는 맛이있어요. 고민하지말고 사세요ㅎㅎ 아, 소금빵은 제가 생각했던 그런 맛은 아니라서 살짝은 아쉬웠습니다.",,2024년 4월 7일 일요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,is54,https://m.place.naver.com/my/5dc137278f87a842bcaff50c/review?v=2,1231,,,"지인 선물 받아서 먹어보고 너무 맛있어서 사러왔어요
가성비 좋은데 빵은 너무너무 맛있어요
빵좀 먹어본 사람들은 알텐데
정말 호텔에 비싼빵보다 더 맛있어요
👍👍👍👍👍👍👍👍👍👍
",,2024년 5월 31일 금요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,나난냐,https://m.place.naver.com/my/6167842782fc7500070b1bcd/review?v=2,635,28,,"캐슈넛 잔두야 트위그 그냥 미친맛이구요.
일단 위에 가득가득히 올라서 캐슈넛 덕분에 고소한 맛이 강하게나구요. 거기에 버터향 가득한 페스츄리 파이 콰즈악…?하게 씹히고, 먹다보면 안에 초코소스도 있거덩여. 처음에 초코크림 넘 적다 싶었는데, 더 많았으면 빨리 질렸을 것 같아요. 그래서 딱 적당! 그리고 위에 솔티가 조금 올라가있어서 단짠의 조화가 극락",,2024년 5월 23일 목요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,ngs7026,https://m.place.naver.com/my/5b9e0aad3b437922f5786730/review?v=2,184,3,,"너무 맛있어요👍🏻👍🏻
운 좋게 빵이 많을 때 방문했어요",,2024년 5월 18일 토요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,Youryeong,https://m.place.naver.com/my/5d981b4a8f87a842bca324f7/review?v=2,996,76,,"피스타치오롤 맛있어요 훌륭합니다,,저의 부족한 어휘력이 한탄스럽네요","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 6월 7일 금요일,3번째 방문,영수증
트위그 페스츄리,베이커리,,,,christine0,https://m.place.naver.com/my/5c95dfca930a9510ebaed1ec/review?v=2,263,7,,"정말 너무너무 맛있어요!! 
목,금,토,일만 운영! 먹어본 페스츄리중에 역대급!!
최고에용👍🏻","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 4일 목요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,별빛아낙,https://m.place.naver.com/my/5ceefc52d5712e216cc08fa2/review?v=2,46,,,"새로 나온 금귤브리 진짜 최고에요. 새메뉴들이 하나씩 나오는데 보물상자 여는 기분이네요.^^
와인 안주로도 최고일 것 같아요.
맛도 맛이지만 보기에도 너무 예뻐서 빵이 뱃속으로 사라지는게 너무 아쉽네요.
여튼 트위그는 사랑입니다.^^",,2023년 12월 16일 토요일,2번째 방문,결제내역
트위그 페스츄리,베이커리,,,,별빛아낙,https://m.place.naver.com/my/5ceefc52d5712e216cc08fa2/review?v=2,46,,,"저희 가족의 최애 베이커리 가게인 트위그.
오랜만에 동생네가 놀러와서 여러종류 다 맛볼 수 있어서 좋았던 날이네요.
진짜 최고에요! ",,2024년 1월 20일 토요일,4번째 방문,결제내역
트위그 페스츄리,베이커리,,,,꿀돼에지,https://m.place.naver.com/my/5f6d53b6da759039175aba01/review?v=2,163,,,"오랜만에 메로와상 생각나서 사먹었는데
역시나 완전 도른맛..이었어요!
겉에 바삭한 쿠키 같은 식감에 속엔 은은한 메론향이! 단거 좋아하는 저한테는 딱인 메뉴에요~! 잔두야트위그는 뭐 항상 곁들여 사가는 메뉴이구요~
명란크로아상은 사실 기대를 많이 안했는데 기대했던것보다 너무너무너무 맛있어서 놀랐어요! (단짠단짠🫢)
다음에 또 신메뉴 나오면 꼭 먼저 사먹어볼게요🫶",,2023년 12월 10일 일요일,4번째 방문,영수증
트위그 페스츄리,베이커리,,,,소원이82,https://m.place.naver.com/my/5c0e2cee446fc20d08fdfe64/review?v=2,16,,,"빵 너무맛있어서
3일연속 방문이요ㅎㅎ
사장님친절하시구 일단빵이 너모
맛나요^^
빵순인데 공릉동 빵 다먹어본거같은데
여기가최고",,2024년 4월 27일 토요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,이따금맛집탐방,https://m.place.naver.com/my/5edfd8aa8f87a842bc97e58a/review?v=2,84,4,,두번은 배달시키고 한번 직접 가서 샀어요 페스츄리 계열 좋아하면 꼭 가보는 걸 추천 드립니다. 😍,,2024년 4월 13일 토요일,1번째 방문,결제내역
트위그 페스츄리,베이커리,,,,mickeyim,https://m.place.naver.com/my/5db5a2608f87a842bc646ebd/review?v=2,830,,,"지난 번부터 리뷰하고 싶었는데 영수증이 없어, 사진 못찍어…이제야 리뷰합니다. 거의 매주 갑니다. 특별해요~주말에만 하는 아쉬움 ㅠㅠ","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 3월 10일 일요일,3번째 방문,영수증
트위그 페스츄리,베이커리,,,,민트초코념념굿,https://m.place.naver.com/my/5d4c38128f87a842bc4180f4/review?v=2,228,9,,"비주얼이 훌륭해서 기대도 컸나 봅니다. 맛이 없진 않은데
인상적이지 않아서 좀 아쉬웠어요. 메로와상, 금귤 갈레트, 무화과 크림치즈 이렇게 구매했습니다.
",,2024년 2월 10일 토요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,가나다라마바4아자,https://m.place.naver.com/my/5e9f70f28f87a842bcc72ce0/review?v=2,11,,, 냉동실 떨어질 때쯤마다 다시 꽉꽉 채워 놓고 먹는 트위그 페이스트리 너무 맛있어요!! 새로 나온 갈레트도 주변 분들과 나눠먹기 위해 주문했는데 너무 맛있게 나눠먹었습니다.,,2024년 2월 11일 일요일,2번째 방문,영수증
트위그 페스츄리,베이커리,,,,별빛아낙,https://m.place.naver.com/my/5ceefc52d5712e216cc08fa2/review?v=2,46,,,"진짜 이 곳보다 맛있는 페스트리 가게는 없을  것 같다는 생각이 들 정도로 맛있습니다.
이 작은 동네 골목에 이런 베이커리 명장이 계신 게 놀랍고 감사하네요.
빵이 나올 시간을 보고 가서 사 오는 편인데 진짜 너무 맛있어요.
오래오래 계셨으면 좋겠습니다.",,2023년 12월 2일 토요일,1번째 방문,결제내역
트위그 페스츄리,베이커리,,,,별빛아낙,https://m.place.naver.com/my/5ceefc52d5712e216cc08fa2/review?v=2,46,,,"금토일만 문이 열리는 마법의 베이커리.
매주 문 열자마자 달려가서 저희 가족이 좋아하는 빵들을 사 오는 기쁨이 있습니다.
정말 페스트리는 우리나라에서 제일 잘 하실 것 같아요. 최고에요. 오래도록 공릉 떠나지 않으셨으면 합니다.",,2023년 12월 23일 토요일,3번째 방문,결제내역
트위그 페스츄리,베이커리,,,,반짝이맘1028,https://m.place.naver.com/my/5eff31971c9b02e1ea3ca544/review?v=2,235,2,,"경춘선숲길에서 있는
트위그페스츄리에 다녀왔어요
무화과 크림치즈와
빵오스위스를 구매해서 왔어요
진쨔 바삭 거리고 너무 맛있어요^^",,2024년 1월 19일 금요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,알알엘,https://m.place.naver.com/my/5e85b0628f87a842bc81f2be/review?v=2,1,,,오픈하신 날 방문했었다가 맛있어서 오랜만에 다시 방문했는데 그 사이에 동네에서 유명해졌는지 이른 시간에 갓다고 생각했는데도 빵이 거의 다 팔렸더라구요😭 여전히 맛있게 먹었습니다! 계속 연구를 많이 하셨는지 버터의 풍미나 식감이 너무 제 스타일이라 너무 잘 먹었습니다. 오픈 날 왔던걸 기억해주셔서 뺑오도 서비스로 하나 주셔서 바로 먹었는데 환상적이였습니다😍 집 근처에 있다면 맨날 사먹고 싶은 맛집👍,,2024년 1월 5일 금요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,앤러블리kan,https://m.place.naver.com/my/5eff752da1b6a107c6e2bca4/review?v=2,27,,,맛있다고 해서 먹어봤는데~ 맛있어요,,2024년 5월 12일 일요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,Youryeong,https://m.place.naver.com/my/5d981b4a8f87a842bca324f7/review?v=2,996,76,,세상엔 맛있는게 너무 많아~🐷,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 1월 14일 일요일,2번째 방문,영수증
트위그 페스츄리,베이커리,,,,shy****,https://m.place.naver.com/my/5c190e1f9e10ea39c61fa9ba/review?v=2,611,,,"저번에 4시반에 갔을때 sold out이라 못 먹었는데 우연히 4시쯤 지나다다 살 수 있었어요~
주말에만 영업하는게 너무 아쉬울 정도로 맛있었어요~ 라우겐크로와상은 소금빵의 크로아상 느낌인대 최애가 될 것 같네요^^",,2023년 12월 10일 일요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,hyein317,https://m.place.naver.com/my/5ed6158a8f87a842bcb85f1c/review?v=2,280,,,넘 맛있어요~~~ ❤️,"일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 4월 12일 금요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,나12720,https://m.place.naver.com/my/5c472db9f336d47f8d7fc58d/review?v=2,1137,1,,"맛있어요 
늦게가면 종류가 많이 빠지는게
아쉽지만 ",,2024년 3월 15일 금요일,1번째 방문,결제내역
트위그 페스츄리,베이커리,,,,mjz****,https://m.place.naver.com/my/5e4015508f87a842bc7452fc/review?v=2,4,,,"오랜만에 방문했어요!
원래 견과류를 별로 안좋아하는데 캐슈넛잔두야트위그가 갈때마다 궁금해서 한번 구매해봤어요🤔
근데 세상에! 왜이렇게 맛있나요?!
방문하시는 분들 꼭 사드셔보면 좋겠네요
트위그의 다른 빵들도 물론 맛있게 먹었습니다 ",,2024년 1월 27일 토요일,3번째 방문,영수증
트위그 페스츄리,베이커리,,,,빵순이가되어가는중,https://m.place.naver.com/my/5f0633943b5350168728fef8/review?v=2,47,,,"금귤브리, 피스타치오롤, 메로와상 셋 다 너무 맛있었어요🤍 ","일시적인 오류가 발생했습니다
빵이 맛있어요",2024년 1월 6일 토요일,1번째 방문,영수증
트위그 페스츄리,베이커리,,,,뿌링잉,https://m.place.naver.com/my/5f3cae6ca602e98f56bdb5b5/review?v=2,19,,,"배달로 자주 시켜먹다가 매장에도 가봤어요
여기 페스츄리가 공릉에서 가장 바삭하고 맛있는 것 같아요 … 에그타르트는 페스츄리는 바삭하고 맛있는데 필링이 아쉬웠어요 ㅠㅠ 수분이 많이 느껴지고 물 같은게 나와서 느끼해지더라고요 그거 말고는 다 맛있네요 !",,2024년 3월 2일 토요일,1번째 방문,영수증
