가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
포멜로우,"카페,디저트",,,,추희정,https://m.place.naver.com/my/5c3b27006974acf72db808ab/review?v=2,32,1,,"동생생일이라서 또 케이크 주문했습니다! 
망고케이크 작년에 너무 맛있게 먹어서 기다렸는데 올해도 맛있을 거 같아요(믿고 먹는 포멜로우☺️)
과일 듬뿍 들었는데 정말 가격도 착하고 맛있고 난리나요
새로 나온 플랑도 같이 샀는데 너무 기대됩니당😆😆
매번 맛있는 디저트 감사드려요!!!

",,2024년 6월 22일 토요일,3번째 방문,영수증
포멜로우,"카페,디저트",,,,먹는게 제일 좋은 뽀로로,https://m.place.naver.com/my/5cd514a93815bc4c0eccc397/review?v=2,1197,11,,디저트랑 커피가 맛있는 공릉 카페🤎 주말 한가한 시간대에 일부러 방문했어요!ㅎㅎ 플랑류가 진짜 맛있으니까 꼭 드셔보세요…🤎 아지트 삼고 싶은 카페에요!,,2024년 7월 20일 토요일,1번째 방문,결제내역
포멜로우,"카페,디저트",,,,junhinn83,https://m.place.naver.com/my/5c3077991cdbce02ba7fa87c/review?v=2,164,,,"맛도 맛이지만
너무 예뻐서 먹기 아깝습니다.
항상 친절한 사장님과 항상 맛있는 디저트와 커피.
추천합니다.",,2024년 5월 24일 금요일,18번째 방문,영수증
포멜로우,"카페,디저트",,,,작전명령,https://m.place.naver.com/my/5da3d1d08f87a842bc71f87d/review?v=2,20,,,인스타 갬성의 매장이여서 사진이 옴청 잘 나오고 디저트가 이렇게 예쁠일인지ㅠ 게다가 맛도 있어요!!!👍👍 다른 디저트도 먹으러 재방문할 예정입니다👍,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 30일 일요일,1번째 방문,영수증
포멜로우,"카페,디저트",,,,junhinn83,https://m.place.naver.com/my/5c3077991cdbce02ba7fa87c/review?v=2,164,,,"포멜로우 디저트는 언제나 예쁘고 언제나 맛있습니다.
사장님도 언제나 친절하십니다.","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 5일 수요일,19번째 방문,영수증
포멜로우,"카페,디저트",,,,junhinn83,https://m.place.naver.com/my/5c3077991cdbce02ba7fa87c/review?v=2,164,,,오늘도 맛있게 잘먹었습니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 24일 수요일,21번째 방문,영수증
포멜로우,"카페,디저트",,,,마성녀,https://m.place.naver.com/my/5b8657df77f5120aea55c5d1/review?v=2,1077,,,"맛있어요

파이지 예술입니다","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 30일 일요일,1번째 방문,영수증
포멜로우,"카페,디저트",,,,rhgPwns,https://m.place.naver.com/my/5de5f0bb9ec8258e4a28036b/review?v=2,25,,,겉파속촉 다음날까지도 파삭파삭 맛있어요! 피스타치오는 배라 피쵸맛이고 쿠키플랑은 생각보다 더더 맛있어요🫶🏻 둘 다 최고의 선택!!,"일시적인 오류가 발생했습니다
매장이 청결해요",2024년 5월 17일 금요일,1번째 방문,결제내역
포멜로우,"카페,디저트",,,,yun****,https://m.place.naver.com/my/5baca0ee901d8eb929da9707/review?v=2,1022,,,"플랑은 처음 먹어보는데 진짜 완전 맛있어요!!!
애플크럼블 먹어봤눈데 넘 맛있구, 가게 분위기도 좋고 냄새도 좋아요💜💜","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 31일 금요일,1번째 방문,영수증
포멜로우,"카페,디저트",,,,요환63,https://m.place.naver.com/my/5e0f85198f87a842bc47b2ae/review?v=2,67,7,,"따로 포장한 피스타치오살구플랑, 소금초코피낭시에는 아직 먹지 않은 상태고 나머지 매장에서 먹은 피스타치오딸기케이크, 앙버터쿠키, 마카다미아피낭시에 그리고 아메리카노. 케이크는 피스타치오딸기, 딸기생크림 2종이었는데 고민하다가 피스타치오딸기로...(딸기생크림은 딸기철 끝나기 전에 다시 가서 먹기로!) 피스타치오 맛이 가득 느껴지는 케이크였다. 피스타치오에 환장한다면 먹어보길...딸기가 실하게 잘 들어간 편^^ 앙버터쿠키는 일단 귀엽고 그리 달지 않으면서 쿠키+버터+팥 조합을 편히 맛볼 수 있음. 마카다미아피낭시에도 마카다미아가 결코 적은 양이 아니어서 좋았음.",,2024년 2월 24일 토요일,1번째 방문,영수증
포멜로우,"카페,디저트",,,,,https://m.place.naver.com/my/theme/63578086032d5e7d73b1db3b?v=2,,,,,,,,
포멜로우,"카페,디저트",,,,Asdf133,https://m.place.naver.com/my/5ce9e15843b24ab544b938d4/review?v=2,70,,,"다이어트중인데도 맛있다고해서 
오픈하는시간맞춰 달려왔어요!
하나밖에 못먹어서 너뮤아쉬워요ㅜㅜ
근데 지쨔..맛있고 공간도 작지만 예쁘고
사진도잘나와요! 사진찍으려고 아침일찍 달려왔슴다!

아니근데 두개,세개드세요.
공릉 디저트맛집…
 ",,2024년 3월 3일 일요일,1번째 방문,영수증
포멜로우,"카페,디저트",,,,na881022,https://m.place.naver.com/my/5b9af57c67cb4340926abaed/review?v=2,440,1,,예쁘고 분위기 좋아요🤍🩵 디저트도 맛있어요👍,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 11일 목요일,1번째 방문,영수증
