가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
프로젝트서울 과기대점,"카페,디저트",,,,tory33,https://m.place.naver.com/my/5b6851e3f2a62707eda6d3a8/review?v=2,12,,,학교 앞에 아기자기한 카페가 생겼길래 들렀는데 왠걸! 인생 도넛집을 찾았습니당🥹❤️ 진짜 크림 최고에효...... 2층에 앉을 공간두 마련되있어서 엄청 편하게 있다 갔습니당 :) 12시가 도넛 나오는 시간이라고 하니 꼭 맞춰서 get 하세용✨!!ㅎㅎ,,2024년 6월 24일 월요일,1번째 방문,영수증
프로젝트서울 과기대점,"카페,디저트",,,,ju080824,https://m.place.naver.com/my/5c4fd4059483f0321673aa3a/review?v=2,81,,,골라먹는 재미와 맛있는 디져트에 입이 행복해서. 딸들 주려고 포장까지 해왔습니다.  자주 애용할께요 ,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 12일 수요일,1번째 방문,영수증
프로젝트서울 과기대점,"카페,디저트",,,,sun****,https://m.place.naver.com/my/61e4338227c86181d1e66820/review?v=2,227,,,도넛이 달지 않고 맛있어요.,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 7월 20일 토요일,1번째 방문,영수증
프로젝트서울 과기대점,"카페,디저트",,,,위니8630,https://m.place.naver.com/my/5b8b3d8489339490af9c5a41/review?v=2,22,,,"동네에 이런 도넛집 하나쯤 있는 것도 축복

아주 작지만 알차다..

도넛값은 모르겠고 커피 이벤트 오래 해주셨으면... ^^",,2024년 6월 16일 일요일,1번째 방문,결제내역
프로젝트서울 과기대점,"카페,디저트",,,,sou****,https://m.place.naver.com/my/5db8dd208f87a842bcc51700/review?v=2,13,,,"오랜만에 지인을 만나러 공릉동에 갔다가~
한적하고 정감있는 산책로를 따라가다 보니 
과기대 정문쪽에 산뜻한 디자인의 새 건물이 생겼더라고요. MIGG!
ㅎㅎ 이름이 귀여워요~
그 건물 일층에 브랜드 로고 디자인이 귀여운 도너츠 가게가 있어서 일단 들어가보니 
이름하여 프로젝트 서울
제눈에 앙버터 도넛이 딱 보여 묻지도 따지지도 않고 주문할라 했는데. 3+1 행사라고 하여 이건 절대 구입해야 해 하면서 싹 쓸어 담아왔어요!!

맛도 굿굿 가격도 굿굿
인테리어도 굿굿!!",,2024년 6월 25일 화요일,1번째 방문,영수증
프로젝트서울 과기대점,"카페,디저트",,,,Cashcow,https://m.place.naver.com/my/5bf25e1f0f5da12e50dc875e/review?v=2,9,,,공릉동 유일 수제 도넛맛집!!,"일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 16일 목요일,3번째 방문,결제내역
프로젝트서울 과기대점,"카페,디저트",,,,슬똥이23,https://m.place.naver.com/my/5ba1020c763c824cafa47faa/review?v=2,191,,,지인들과 걷기운동을 하기위해 식으로 먹으려고 예약주문을 해서 먹어보았는데 먹어본 지인들도 저도 너무 맛있게 먹었습니다! 만들어진 재료들도 건강한 재료들이라 안심하고 먹을 수 있었고 정말 요즘 먹어본 도넛중이 최고였어요!👍,,2024년 6월 1일 토요일,1번째 방문,영수증
프로젝트서울 과기대점,"카페,디저트",,,,Cashcow,https://m.place.naver.com/my/5bf25e1f0f5da12e50dc875e/review?v=2,9,,,"인테리어랑 가구가 힙해요,  도넛 쫀쫀! 맛남","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 5월 10일 금요일,1번째 방문,결제내역
프로젝트서울 과기대점,"카페,디저트",,,,UoAoU,https://m.place.naver.com/my/5efdc96924363d3a46aabf0c/review?v=2,11,,,"다먹어버려서 사진을 못 찍었지만,,
너무 맛있습니다 ㅠㅠ 기름지지않아서 물리지 않아용
인절미맛 맛도리임~~~","일시적인 오류가 발생했습니다
디저트가 맛있어요",2024년 6월 5일 수요일,1번째 방문,영수증
프로젝트서울 과기대점,"카페,디저트",,,,하늘6172,https://m.place.naver.com/my/5e1688158f87a842bc85ab48/review?v=2,25,,,아주 마음씨좋은 점원이 있습니다,"일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 5월 13일 월요일,1번째 방문,영수증
