가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
피에스타7커피 공리단길점,"카페,디저트",,,,리뷰천재만재,https://m.place.naver.com/my/60c6eb4d84568c6b46b5e8f0/review?v=2,천재만재,2,,"생과일 수박주스 달달하니 시원하구 맛있어요!!🍉
초복 이벤트 할때 먹어서 투쁠원이에욤","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 7월 17일 수요일,5번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,낭만 거북이,https://m.place.naver.com/my/61987e8b30e3a2123a6516d6/review?v=2,126,2,,"플레인요거트랑 자몽티 다 맛있었습니당! 
가격도 가성비 있고
매장도 예쁘고
즐거운 티타임했어용!!",,2024년 7월 25일 목요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,o place,https://m.place.naver.com/my/5efdf347854ca9293112e806/review?v=2,362,19,,"토요일 한낮☀️💛
동네 마실중 아메리카노 1500원이라는 간판에 놀라서 들어가봤는데, 맛도 좋고 매장도 청결하고 뷰도 통창으로 탁트여서, 도란도란 커피마시며 이야기 나누기 좋은 것 같아요. !",,2024년 7월 6일 토요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,msh****,https://m.place.naver.com/my/5f1b08699ec8258e4aa5cd31/review?v=2,423,1,,철길 산책하다 커피 한잔 마시기 넘 좋습니다~^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 30일 일요일,4번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,리틀리버,https://m.place.naver.com/my/5c4b17e875088834c59ee44f/review?v=2,87,,,동네 산책하면서 먹기 좋은 아아♡,"일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 7월 19일 금요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,정한1912,https://m.place.naver.com/my/5d8ec08c8f87a842bc5c2830/review?v=2,69,,,"수박쥬스 새로 출시해서 먹어봤는데

다른 프렌차이즈카페들과 비교가 안되게 맛있네요 ㅎㅎ
직원분들도 친절하고 분위기도 편안해서 자주자주 들립니다:)
",,2024년 6월 7일 금요일,2번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,아롱30,https://m.place.naver.com/my/5f06fbb1848333b0d5c32047/review?v=2,4,,,수박주스 2+1 이벤트해서 먹어봤는데 양도 많고 넘넘 맛있어요 요즘 진짜 더운데 수박주스 완전 추천합니다! 공릉가면 꼭 가서 드셔보세요!!!🍉🍉,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 7월 15일 월요일,1번째 방문,결제내역
피에스타7커피 공리단길점,"카페,디저트",,,,msh****,https://m.place.naver.com/my/5f1b08699ec8258e4aa5cd31/review?v=2,423,1,,"가성비 좋고, 커피 맛도 좋아요~
직원분들과 사장님 친절하세요~^^","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 26일 수요일,2번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,뽀오웅,https://m.place.naver.com/my/5da60b728f87a842bc40189f/review?v=2,59,,,"음료도 너무 맛있고 가성비도 좋아요!
분위기도 너무 시끄럽지 않아서 대화하기도, 할일하기도 매우 좋은 분위기였어요
매장내에 화장실이 있어서 정말 좋았습니다 !!!
공릉오시면 요 카페 추천드러용",,2024년 3월 10일 일요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,까칠한엄마,https://m.place.naver.com/my/5c432faac47f4e6b2c4431fd/review?v=2,250,7,,날씨가너무더워서 병원갔다 집에가는 철길에  저렴하면서도 커피도맛있네요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 4일 토요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,리뷰천재만재,https://m.place.naver.com/my/60c6eb4d84568c6b46b5e8f0/review?v=2,천재만재,2,,날이 더운데 카페 안이 시원하구 스무디가 맛있어요~😍👍👍,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 22일 수요일,4번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,msh****,https://m.place.naver.com/my/5f1b08699ec8258e4aa5cd31/review?v=2,423,1,,커피 맛있어요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 29일 토요일,3번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,콩5127,https://m.place.naver.com/my/5e85bd8a8f87a842bcf7a668/review?v=2,3,,,"더웠는데 수박주스 먹고 너무너무 시원해졌어요😚

태국에서 먹은 땡모반이 생각나는 맛입니당...!
달달한데 인공적이지 않고 진짜 과일만 넣어서 만든 수박주스맛?암튼 추천합니당👍👍👍",,2024년 6월 6일 목요일,1번째 방문,결제내역
피에스타7커피 공리단길점,"카페,디저트",,,,행복한짱가,https://m.place.naver.com/my/5e51eeca8f87a842bccaff0a/review?v=2,1732,,,"공리단길에서 만난 피에스타7 산책후 시원하게 아아 테이크아웃! 주황 컬러포인트가 날씨랑 딱 맞았다.
보틀에 담아주는 커피도 굿~보틀이 튼튼하니 재사용 잘 할것같다.",,2024년 4월 19일 금요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,Lita Kim,https://m.place.naver.com/my/5c5395126f678f71f052237c/review?v=2,23,,,"벚꽃 필때 갔었는데 음료도 다 맛있구
경치도 좋습니다ㅎㅎ
집앞에 바로 이런 저렴하고 맛있는 카페가
새로 생겨서 넘 좋아용
유자스무디 강추합니다 시원하고 많이 안달아용
커피도 구수한맛 맛있구요!",,2024년 4월 5일 금요일,1번째 방문,결제내역
피에스타7커피 공리단길점,"카페,디저트",,,,나라올라888,https://m.place.naver.com/my/5cc17457ea9cf31c749daef8/review?v=2,749,22,,"공리단길 산책길에 새로 생긴 카페입니다.
가격도 저렴하고 깨끗하고 친절해요","일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 3월 19일 화요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,jae727,https://m.place.naver.com/my/5d7627a68f87a842bcb36151/review?v=2,371,,,"공릉동 철길에 위치한 피에스타7
매장, 테이크웃 모두 커피가 1,500원~
커피맛도 좋고 매장도 좋고 뷰도 너무 좋아요~~
친절하고 좋아요",,2024년 2월 21일 수요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,msh****,https://m.place.naver.com/my/5f1b08699ec8258e4aa5cd31/review?v=2,423,1,,"커피 맛있어요~
늘 친절하세요~^^","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 6일 목요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,최현정41,https://m.place.naver.com/my/603efb3819f6641d2b4c2154/review?v=2,9,,,"매장 넘 클린해요~
음료 가성비 조아요
화장실 깨끗해서 좋아요
오늘  우유케익 치즈케익 녹차라떼
잘 먹었습니다^^",,2024년 3월 13일 수요일,4번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,수수수숢이,https://m.place.naver.com/my/5c34a7c4684afcef3be68e74/review?v=2,31,,,"오늘도 수박주스가 맛있어요 
오늘 수박이 더 단것 같아요!!!! 전혀 감미료맛도 없이 오직 수박맛만나서 너무 좋아용🤤💗","일시적인 오류가 발생했습니다
가성비가 좋아요",2024년 6월 11일 화요일,2번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,kel****,https://m.place.naver.com/my/627132847bac19f8f9637dfb/review?v=2,18,,,아이스크림이 너무 맛있어요 종류가 다양해서 어떤 걸 먹을지 엄청 고민하다가 사장님이 추천해주신 걸로 먹었는데 너무 맛있어요 ㅠㅠ 🩷가게도 따뜻하고 아늑해서 대화하기도 좋고 날씨가 추웠는데도 아이스크림이 먹고 싶어지더라고❤️ ,,2024년 2월 8일 목요일,2번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,김대훈189,https://m.place.naver.com/my/5d8d38878f87a842bcdb81b5/review?v=2,7,,,"어니언 베이글 맛있습니다
공릉 공원뷰도 즐길 수 있습니다","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 19일 일요일,2번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,지왕왕,https://m.place.naver.com/my/6285ffd6abbecf037933d6fa/review?v=2,1,,,"일단 아이스크림 라떼 왕 맛있어요!!!
새로 생겨서 그런지 인테리어도 깔끔하고 좋네용ㅎㅎ
가게가 통창이라서 낮에오면 바깥구경하면서 커피마시기 좋을것 같습니당😆
아이스크림 등등 논커피 메뉴도 많아서 커피 못마시는 아이나 친구랑와도 좋을것 같아요☺️☺️
",,2024년 1월 30일 화요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,리뷰천재만재,https://m.place.naver.com/my/60c6eb4d84568c6b46b5e8f0/review?v=2,천재만재,2,,주변에서 산책하다가 들어가기 좋아요~ 동네에 생긴 처음보는 브랜드였는데 메뉴도 다양하고 저렴하네요!!  공릉 카페로 완전 추천해용🌟,"일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 1월 31일 수요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,loveveit,https://m.place.naver.com/my/5fc9d1cf20231902843e7680/review?v=2,75,,,점심식사 후 산책하면서 커피맛이 좋아 자주 갑니다^^,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 23일 목요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,jy****,https://m.place.naver.com/my/5cc39f1ef1c723289480c286/review?v=2,1,,,"커피도 싸고 양도 많고 사장님 서비스도 좋구 추천해욯ㅎㅎㅎ
","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 5월 19일 일요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,정한1912,https://m.place.naver.com/my/5d8ec08c8f87a842bc5c2830/review?v=2,69,,,"귀여운 저희 강아지랑 산책가는길에 들려서 사먹고갔어요
너무 맛있었고 가성비도 좋았구 사장님이 정말 친절하셔서 커피먹을맛이 났습니다! 공리단길에 거의없는 프렌차이즈라서 자주 애용할구같아요😁",,2024년 2월 18일 일요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,행복하자44,https://m.place.naver.com/my/5effe53e2a6e9b34b3829d10/review?v=2,421,,,"저희 집은 테이크아웃을 하기 때문에 매장에 안들어가요
딸기요커트3900,아이스크림4500,딸기쥬스3500 맛있어요.저희 사무실 선배님 조카가 한다고 해서 자주
가는 것은 아니고 맛있어서 갑니다.
스무디가 알갱이가 있어서 좀 싫지만 이제는 자주 먹으니
까 그냥 그래요",,2024년 4월 10일 수요일,2번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,msh****,https://m.place.naver.com/my/5f1b08699ec8258e4aa5cd31/review?v=2,423,1,,좋아요~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 6일 토요일,5번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,seo****,https://m.place.naver.com/my/5eff0ff58f87a842bc9ee50c/review?v=2,14,,,"리뷰 잘 쓰는 편이 아닌데 매장이 엄청 깨끗하고 음료도 맛있어서 한번 남겨봅니다
직원분들도 엄청 친절하시네요

자주 이용할 것 같아요",,2024년 3월 9일 토요일,2번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,난졍앙마,https://m.place.naver.com/my/5d5cf9e78f87a842bc46d7ae/review?v=2,656,,,전 1리터 조아하는데 가까운곳에 아주 가성비좋은 커피집을 발견하여 너무 조아요 ㅎㅎ,"일시적인 오류가 발생했습니다
음료가 맛있어요",2024년 4월 21일 일요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,little wave,https://m.place.naver.com/my/5c7095bc01385a4353938768/review?v=2,519,,,산미가 있는 커피네요^^ 얼음많이를 선택했더니 녹을수록 맛이 괜찮았어요^^가격대비 👍🏻,,2024년 5월 31일 금요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,류53,https://m.place.naver.com/my/5c6935d27ea7e4c348ef9ef8/review?v=2,17,,,사장님이 친절하시고 매장이 너무 깨끗해서 아이 데리고 오기도 너무 좋아요! 커피가 이 가격에 맛이 이게 맞는지... 너무 맛있어요ㅠ 벌써 쿠폰 다 모아가는 ㅎㅎ 곡물바나나? 덜 달게 드시면 아주 맛있고 든든합니당☆,,2024년 2월 6일 화요일,1번째 방문,영수증
피에스타7커피 공리단길점,"카페,디저트",,,,jan****,https://m.place.naver.com/my/5f070126d6ec8fd5cc9f1fe5/review?v=2,1076,,,정말 맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 23일 화요일,1번째 방문,영수증
