가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
형광커피,카페,4.59,,,몽실7015,https://m.place.naver.com/my/5c0bd6f29d1abf4ba5168bb4/review?v=2,886,20,,"7년전 방문했을때 너무 맛있어서 또 가야지가야지 하다 작년에 마켓에서 엄마님이 형광커피 드립백에 빠지셔서 쟁기는 중이네요ㅎㅎ
아이때문에 외출이 어려웠는데 배민으로 주문되니 너무 좋아요😆
이 날은 진하고 꼬수운 과테말라 와이칸 한잔~❣️",,2024년 2월 23일 금요일,1번째 방문,영수증
형광커피,카페,4.59,,,illllllliililiilll,https://m.place.naver.com/my/5dd09e678f87a842bcf2e197/review?v=2,1107,16,,사장님이름이 가게이름이었네요..기구보는 재미 커피마시는 재미 일거양득개이득.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 2월 25일 일요일,1번째 방문,결제내역
형광커피,카페,4.59,,,Sincerelyjy,https://m.place.naver.com/my/5b98d5e3ae18fa9902e58c05/review?v=2,260,54,,"과기대 근처 갈 일이 있어서 
네이버 검색해서 찾아간 로스터리 카페☕️

형광 커피 
로고가 귀엽고 인상적이었는데
여쭤보니 
사장님(이신듯😀)의 성함이었다는:)

로스팅을 직접 하시고 
십수년 카페를 운영하신 베테랑 바리스타시라
커피 맛 좋고 
매장에서 구운 피낭시에도 곁들일 수 있다.

과기대 근처에서 
맛있는 커피 찾으신다면
형광 🛋️🪔커피 
추천합니다아~~😊",,2023년 10월 24일 화요일,1번째 방문,영수증
형광커피,카페,4.59,,,히어로즈파이팅,https://m.place.naver.com/my/5ba2119f1a4065e49a80aa9e/review?v=2,107,,,"커피 맛이 좋아요
사장님께서 친절하십니다","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 2일 화요일,2번째 방문,결제내역
형광커피,카페,4.59,,,또로로로록옹,https://m.place.naver.com/my/5b9c7e0031259e0ef787242d/review?v=2,69,,,신기한 원두가많아요 핸드드립맛있어요,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 4월 30일 화요일,1번째 방문,영수증
형광커피,카페,4.59,,,히어로즈파이팅,https://m.place.naver.com/my/5ba2119f1a4065e49a80aa9e/review?v=2,107,,,"원두 종류가 많아요
원두 2번 아메리카노 맛있었어요","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 26일 화요일,1번째 방문,결제내역
형광커피,카페,4.59,,,allthesame,https://m.place.naver.com/my/5b66bcc1da85f3239373ebb6/review?v=2,863,12,,"핸드드립시 친절하게 설명을 잘해주셔서 좋았어요~
커피맛도 넘 좋았구요~사장님~감사합니다~^^","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 1월 5일 금요일,2번째 방문,영수증
형광커피,카페,4.59,,,메딕3,https://m.place.naver.com/my/5dad00f78f87a842bcae1b06/review?v=2,269,,,패스오더 도입해주시면 정말 감사할 것 같아요. 기대 중이에요 😊,,2024년 6월 24일 월요일,3번째 방문,영수증
형광커피,카페,4.59,,,MJAYJ,https://m.place.naver.com/my/5df6cf8a8f87a842bceda239/review?v=2,180,8,,"소금크림커피? 비슷한것 먹었는데 독특했어요~ 조금만 덜 짜면 좋을갓같긴해요 ㅎㅎ레몬 마들렌 맛잇어욥! 매장안쪽에 로스팅기계까지 있는걸 보니 커피에 진심인 사장님이신것 같아요
담엔 아메리카노 한번 먹어보고싶네요~",,2023년 8월 24일 목요일,1번째 방문,결제내역
형광커피,카페,4.59,,,마을의 천연비타민,https://m.place.naver.com/my/61b073304f4bb2ae0b85b50a/review?v=2,1129,12,,"참특이한 이름같아 영수증을보니 대표이름이네
커피를 사랑하는분들이 주는 커피! 너무 맛나다","일시적인 오류가 발생했습니다
커피가 맛있어요",2023년 11월 10일 금요일,3번째 방문,영수증
