가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
호이폴로이커피로스터스,"카페,디저트",4.65,,,란이다,https://m.place.naver.com/my/61a9bb4dedc82600063f7a8b/review?v=2,230,11.0,,소금빵이 너무 먹고 싶어서 집 근처 소금빵 맛집 찾다가 맨첫번째로 여기 카페가 뜨고 리뷰도 다 너무 좋길래 왔는데 리얼 초코는 진짜 찐 초코 본연의 맛이 나서 좋았고 카페라떼도 저는 너무 맛있었어용 소금빵 완전 제 취저 입니당❣️,,2024년 7월 11일 목요일,1번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,hig****,https://m.place.naver.com/my/5bb899ebdbceb397f779703a/review?v=2,29,,,"커피랑 디저트 너무 맛있어요! 
매주 오는데 오늘 비오니 더 운치있고 좋네요😊","일시적인 오류가 발생했습니다
인테리어가 멋져요",2024년 7월 18일 목요일,5번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,Kkimze,https://m.place.naver.com/my/5f37b572a602e98f5680ee81/review?v=2,15,1.0,,"🪄필터 커피(목시/스칼렛) & 소금빵🥐

공릉 카페 뿌수기 N일차❕
지나가다 원두 직접 로스팅하시는 모습이 생각나 방문했어요~역시 분위기는 선곡 조명까지 살짝 어두워진 저녁에 방문했더니 더 완벽해요✨
원두는 제 입맛에 둘다 산미 있는 걸로 느껴져서 모두 상큼했던 거 같아요ㅎㅎㅎ
옆자리 댕댕이가 너무 귀여웠답니다…
아 여기는 에이드 찐맛집이예요 녀러분
에이드 시키면 무족헌 재방문하실걸요 잇힝👍🏻",,2024년 7월 14일 일요일,1번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,qrqr,https://m.place.naver.com/my/5ec08e078f87a842bc71f8c6/review?v=2,265,,,"커피 정말 최고예요♡ 빵류도 너무 맛있고. 커피 아닌 음료도 마셔봤는데 많이 달지 않고 좋았거든요. 매장에서 끊이지 않고 나는 빵 굽는 냄새와 커피향♡때문에 항상 가고 싶은데, 매번 사람이 많아서 발길 돌려야할 때가 많아서 아쉬워요",,2024년 5월 22일 수요일,6번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,lsk****,https://m.place.naver.com/my/5eb247b38f87a842bc776bc3/review?v=2,47,1.0,,공릉동 커피맛집 호이폴로이 방문!!!커피 종류도 많고 디저트도 맛있어서 공릉동에서 꽤 유명해요.커피 원두부터 다르단걸 한입 먹고 바로 알게되는 그맛!!디저트도 직접 만드시고 되게 친절해서 방문하면 기분이 저절로 좋아지는 곳입니다. 휘낭시에도 맛있고 디저트 다 먹어보고 싶었으나 워워~~했어요. 디카페인도 있어서 카페인 예민러들도 좋을거 같아요. 완전 추천해요. 커피맛집 맞아요,,2024년 5월 19일 일요일,3번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,이쫑알쫑알,https://m.place.naver.com/my/6146b61d15e21c3d58cce7d4/review?v=2,259,77.0,,사장님의 애정이 가득 담긴 곳 같아서 넘 좋았어요…💗 커피 원두 종류도 정말 다양하고 맛있어요. 휘낭시에도 2개의 3500원… 진짜 넘넘 맛있어요… 비 오는 날 멋지구 근사한 장소에서 힐링한 기분 🥺🥺,,2024년 7월 6일 토요일,1번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,ldj****,https://m.place.naver.com/my/5cf0b687a4480aa7880aaac6/review?v=2,38,,,"상향평준화 된 커피를 선사하는 수많은 주변 카페에서,
여기는 경험적으로 최고의 퀄리티를 보여준다고 확신합니다 👍🏼

전국에서도 탑이라고 감히 확신보장할 수 있어요!

오늘은 커피맥주 먹어봤는데, 더운날 한잔 하기 좋네요!",,2024년 7월 14일 일요일,1번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,물결728,https://m.place.naver.com/my/65f3fad273736e3dcf3604dd/review?v=2,11,,,분위기가 좋아보여 방문하게 되었는데 편하게 이야기하며 시간 보낼 수 있었어요 😊 커피와 디저트도 너무 맛있게 잘 먹어 재방문 의사 있습니다 🙌🏻💗,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 13일 토요일,1번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,joh****,https://m.place.naver.com/my/5fdaa06356d68ef9394b9299/review?v=2,37,,,"약속 가기전! 방문한 공릉역 과기대 근처 카페!! 
비오는 날 주말인데도 밖에까지 줄이 넘치고 포장까지 해가시는 손님을 보면서 ☀️ 여긴 맛집이다하고 느낌!! 솔솔 풍겨오는 소금빵에 고소함과 원두 냄새까지~다양한 메뉴를 먹어보고 싶었지만..저녁 약속이 있어 자제하고 플랫화이트와 소금빵 1개를 주문했다🥐☕️ 꼬소한 우유와 맛있는 에스프레소까지 !! 소금빵은 말모말모 너무 맛있어서 친구 포장해주려고 4개나 사버림..💗 공릉역 커피&소금빵 맛집 찾는다면 호이폴로이커피로스터스 진짜 강추함❕❕#내돈내산",,2024년 4월 20일 토요일,1번째 방문,영수증
호이폴로이커피로스터스,"카페,디저트",4.65,,,도희DD,https://m.place.naver.com/my/5c4455222e176d426ea05a29/review?v=2,697,63.0,,깔끔한 필터커피가 정말 맛있는 카페♥️ 분위기도 좋고 맛있는 커피랑 곁들여 먹기 좋은 디저트도 많아 좋아요. 오랜만에 취향저격 카페 발견! 사장님도 친절하시고 커피에 일가견 느껴져요🫶🏼🫶🏼,,2024년 6월 22일 토요일,1번째 방문,영수증
