가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
휘드카페 공릉점,카페,,,,마이예솜,https://m.place.naver.com/my/5c4854b9d4022585554dcbb0/review?v=2,2365,11,,굿굿.고구마라떼는 별로고 다른건 다 괜츈,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 17일 수요일,5번째 방문,영수증
휘드카페 공릉점,카페,,,,콜드브루굿,https://m.place.naver.com/my/5d3fe44419783e1e755ffb5b/review?v=2,897,48,,친절하시고 가성비 좋아요~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 15일 월요일,1번째 방문,영수증
휘드카페 공릉점,카페,,,,간데메 꽃님이,https://m.place.naver.com/my/5d465ea794457aeee2edad5d/review?v=2,524,17,,"리틀 파스타에서 파스타 먹고 버블티 잡수시고 싶다는 아들 덕분에 들른 곳~~ 버블티 가격, 커피 가격 착해요!! 추천해요.","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 9일 일요일,1번째 방문,영수증
휘드카페 공릉점,카페,,,,라온하제7,https://m.place.naver.com/my/5ea416968f87a842bca4e276/review?v=2,264,30,,자주 가는 단골집 커피가 맛있어서 단골을 안할수가 없다는,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 23일 일요일,1번째 방문,영수증
휘드카페 공릉점,카페,,,,럭키 김부장,https://m.place.naver.com/my/5fe9868142645c1d07d5aed0/review?v=2,2057,,,기분이 좋아지는 카페. 추천합니다~~,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 15일 토요일,9번째 방문,영수증
휘드카페 공릉점,카페,,,,tnfl,https://m.place.naver.com/my/5e93fc7b8f87a842bcf17f28/review?v=2,19,,,"카페가 너무 아늑하고 편해서 자주 오게되는 카페예요~
음료도 너무 맛있구 사장님도 친절해용!!☺️
크로플도 정말 맛있어서 다음에 또 먹으러올께용!!!
🙆🏻‍♀️😆👍❤️",,2024년 3월 1일 금요일,6번째 방문,영수증
휘드카페 공릉점,카페,,,,nene30,https://m.place.naver.com/my/5f057866532b4ce788cd9123/review?v=2,571,,,항상 감사합니다:),"일시적인 오류가 발생했습니다
친절해요",2024년 5월 20일 월요일,9번째 방문,영수증
휘드카페 공릉점,카페,,,,럭키 김부장,https://m.place.naver.com/my/5fe9868142645c1d07d5aed0/review?v=2,2057,,,"커피도 맛나고, 참말로 친절하십니다.
또 가고 싶네요. ^^*","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 17일 금요일,8번째 방문,영수증
휘드카페 공릉점,카페,,,,pma****,https://m.place.naver.com/my/60d9248a193811619c0b4f79/review?v=2,620,,,"한결같이 친절하시고 
커피 맛있습니다.
레몬생강차도 좋습니다","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 28일 금요일,11번째 방문,영수증
휘드카페 공릉점,카페,,,,Rhodo,https://m.place.naver.com/my/5b952e7d0816144298759746/review?v=2,276,,,커피도 맛있고 사장님도 친절하시고 넘 좋습니다,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 3일 월요일,1번째 방문,영수증
