가게이름,카테고리,전체평점,방문자리뷰,블로그리뷰,리뷰작성자,리뷰작성자링크,리뷰작성수,팔로워,첨부이미지,리뷰내용,이런_점이_좋아요,방문시간,방분횟수,방문인증
휘드카페 하계점,카페,4.4,,,친절하면리뷰길게쓰는사람,https://m.place.naver.com/my/5ce7aec08f87a842bc0b348a/review?v=2,친절하면길게쓰는사람,,,"크로플에 메이플 시럽 추가했는데 다 뿌리고 먹다보니 알게된 건,
유통기한 지난 메이플 시럽이였다는 것...
그래서 사장님께 알려드렸는데 미안하다는 말도 없고 시럽 바꿔준다는 소리만.. 이미 뿌려서 먹고 있다가 알게됐는데 시럽 바꿔서 뭐가 달라지는지 이해 안 돼서 그냥 먹을게요~ 하고 말았다.
친절하지도 않고 그렇다고 신선하게 관리하는 이미지도 아니고.. 다시 가지는 않을 것 같다.
리뷰 하나하나가 얼마나 장사에 영향을 주는지 알고 있고 별로 좋지 않은 경험을 했어도 잘 남기지 않는데 
솔직하게 남겨야 사장님도 매장 재고관리, 고객응대 신경 쓰실 것 같아서 이렇게 남김",,2024년 6월 1일 토요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,Surfmou,https://m.place.naver.com/my/5dc43c738f87a842bc657bc4/review?v=2,16,,,"가격대비 커피맛이일품입니다
사장님 친절하시네요
조용한동네 커피맛집","일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 6월 9일 일요일,18번째 방문,영수증
휘드카페 하계점,카페,4.4,,,grbnana,https://m.place.naver.com/my/5ecf8e848f87a842bc2d515a/review?v=2,63,1.0,,커피 맛나게 먹엇어요:),"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 7월 3일 수요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,쭌이뚱이,https://m.place.naver.com/my/5d95dfe38f87a842bcd9d159/review?v=2,1025,,,가성비 좋은 커피 맛집이라 종종 들려요.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 5월 2일 목요일,9번째 방문,영수증
휘드카페 하계점,카페,4.4,,,Tory85,https://m.place.naver.com/my/5de379bc9ec8258e4a9736e6/review?v=2,93,,,"커피 1800원, 다크향 커피 맛좋아요 ^^ ",,2024년 4월 24일 수요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1598,,,좋아요 ,,2024년 5월 5일 일요일,40번째 방문,영수증
휘드카페 하계점,카페,4.4,,,sci****,https://m.place.naver.com/my/5e3fc8078f87a842bcde0cda/review?v=2,277,,,혼커피 즐기는 곳,,2024년 4월 2일 화요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1598,,,좋아요 ,,2024년 4월 5일 금요일,39번째 방문,영수증
휘드카페 하계점,카페,4.4,,,mro****,https://m.place.naver.com/my/5eb286578f87a842bc97014c/review?v=2,7,,,학교에 아주 가까워서 하계에 왔다하면 가볍게 들리는 그런 곳! 애들이랑 수다 떨기도 좋고 특히 크로플 부드럽고 달콤해서 최고닷...! 개인적으론 따뜻한 누텔라 크로플이 젤 맛있음!,,2023년 12월 17일 일요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,안성민7179,https://m.place.naver.com/my/5f6b0e596c3d7f7334622485/review?v=2,5,,,학교 근처라 자주 오는데 조용하고 분위기도 좋아 여자친구와 데이트하기 좋습니다. 사장님 친절하시고 넘 커피도 맛있네요! ㅋㅋㅋㅋ올때마다 크로플 사먹는데 누텔라 강추!,,2023년 12월 17일 일요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1598,,,좋아요 ,,2024년 3월 24일 일요일,38번째 방문,영수증
휘드카페 하계점,카페,4.4,,,올싱아이즈19,https://m.place.naver.com/my/5bc00ee6367ebf9be7b9ea73/review?v=2,1182,,,달콤하고 고소한 크로플과 커피는 좋은 시간의 친구입니다.,"일시적인 오류가 발생했습니다
커피가 맛있어요",2024년 3월 10일 일요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,멍망2,https://m.place.naver.com/my/63be91b81438fc3a9ce9acc9/review?v=2,126,2.0,,버블티 먹으러 자주 가요!! 흑당은 조금 연한 맛이고 초코 버블티 맛있어요!! 동네 어른들이 모임으로 많이 오시는 것 같아서 매장 이용하기에는 조금 시끄럽습니다ㅎㅎ,,2023년 12월 3일 일요일,2번째 방문,영수증
휘드카페 하계점,카페,4.4,,,gkr****,https://m.place.naver.com/my/61efab8904927f80ed0fcd67/review?v=2,459,,,커피가 향도 좋고 맛있어요~,,2024년 1월 7일 일요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1598,,,좋아요 ,,2024년 2월 24일 토요일,37번째 방문,영수증
휘드카페 하계점,카페,4.4,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1598,,,좋아요 ,,2024년 1월 28일 일요일,36번째 방문,영수증
휘드카페 하계점,카페,4.4,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1598,,,좋아요 ,,2024년 1월 21일 일요일,35번째 방문,영수증
휘드카페 하계점,카페,4.4,,,12월의선인장,https://m.place.naver.com/my/5e765f788f87a842bccb92de/review?v=2,10,1.0,,"매번 자주 오는데 아샷추가 너무 맛있어서 왔다가 이번에 다른 메뉴도 도전해봐용!! 카페모카!!!
항상 친절하게 해주셔서 잘먹고 있어요
크로플도 맛있는데 점심먹을거라ㅠㅠ 다음에 먹으려구용",,2023년 11월 10일 금요일,2번째 방문,영수증
휘드카페 하계점,카페,4.4,,,마이플007,https://m.place.naver.com/my/5e1bfb4e8f87a842bcac2f10/review?v=2,1598,,,조아요 ,,2023년 12월 30일 토요일,34번째 방문,영수증
휘드카페 하계점,카페,4.4,,,멍망2,https://m.place.naver.com/my/63be91b81438fc3a9ce9acc9/review?v=2,126,2.0,,버블티가 몰랑몰랑 너무 맛있어요,"일시적인 오류가 발생했습니다
친절해요",2023년 10월 29일 일요일,1번째 방문,영수증
휘드카페 하계점,카페,4.4,,,yjo****,https://m.place.naver.com/my/5f2e6e339ec8258e4a505deb/review?v=2,1279,,,.,,2024년 3월 21일 목요일,1번째 방문,영수증
